 
Chelidoniae | Chelidoniae insulae f
Chellina | Chellina, ae f
chelydrus | chelydrus, i m
chelys | chelys ( acc.
Chemiazidum | Chemiazid(um, i n
Chemiochinum | Chemiochin(um, i n
Chemiofuranum | Chemiofuran(um, i n
Chemocainum | Chemocain(um, i n
Chemovirum | Chemovir(um, i n
cheregra | cheregra, ae f
Chersonesus | Chersonesus, i f
Cherusci | Cherusci, orum m
chiasma | chiasma, atis n
Chii | Chii, orum m
chiliarches | chiliarches, ae m
chiliarchus | chiliarchus, i m
Chilopoda | Chilopoda, orum n
Chimaera | Chimaera, ae f
chimiotherapia | chimiotherapia, ae f
Chinacrinum | Chinacrin(um, i n
Chingaminum | Chingamin(um, i n
Chinidinum | Chinidin(um, i n
Chininum | Chinin(um, i n
Chiniofonum | Chiniofon(um, i n
Chinoceptinum | Chinoceptin(um, i n
Chinocidum | Chinocid(um, i n
Chinoformum | Chinoform(um, i n
Chinosolum | Chinosol(um, i n
Chinosulfanum | Chinosulfan(um, i n
Chione | Chione, es f
Chios | Chios (-us), i f
chiragra | chiragra (cheragra), ae f
Chiro | Chiro, onis m
chirographum | chirographum, i n
chirographus | chirographus, i m
Chiron | Chiron (Chiro), onis m
Chiroptera | Chiroptera, orum n
chirurgia | chirurgia, ae f
chirurgicus | chirurgicus, a, um мед.
Chium | Chium, i n
chlamys | chlamys, ydis f
Chloceptinum | Chloceptin(um, i n
Chlocyclamidum | Chlocyclamid(um, i n
Chlophazolinum | Chlophazolin(um, i n
Chloracetophosum | Chloracetophos(um, i n
Chloraconum | Chloracon(um, i n
Chloracyzinum | Chloracyzin(um, i n
Chloramphenicolum | Chloramphenicol(um, i n
chloratus | chloratus, a, um хим.
Chlorazenum | Chlorazen(um, i n
Chlorazinum | Chlorazin(um, i n
Chlorbutinum | Chlorbutin(um, i n
Chlorbutolum | Chlorbutol(um, i n
Chlorchinaldolum | Chlorchinaldol(um, i n
Chlorenum | Chloren(um, i n
Chloretanum | Chloretan(um, i n
Chlorethazinum | Chlorethazin(um, i n
Chloretonum | Chloreton(um, i n
Chlorguanidum | Chlorguanid(um, i n
Chloridinum | Chloridin(um, i n
Chlorigenum | Chlorigen(um, i n
Chloriguanum | Chloriguan(um, i n
Chloriodoquinum | Chloriodoquin(um, i n
Chloris | Chloris, idis f
Chlormeprazinum | Chlormeprazin(um, i n
Chlormerodrinum | Chlormerodrin(um, i n
Chlormethinum | Chlormethin(um, i n
Chlorneoanterganum | Chlorneoantergan(um, i n
Chlornitromycinum | Chlornitromycin(um, i n
Chlorobutanolum | Chlorobutanol(um, i n
Chlorochinum | Chlorochin(um, i n
Chlorocidum | Chlorocid(um, i n
Chlorocyclina | Chlorocyclina, ae f
Chloroformium | Chloroformium, i n
Chlorogenium | Chlorogenium, i n
Chlorohydra | Chlorohydra, ae f
Chloromycetinum | Chloromycetin(um, i n
Chloronitrinum | Chloronitrin(um, i n
Chlorophenisatum | Chlorophenisat(um, i n
Chlorophylliptum | Chlorophyllipt(um, i n
chlorophyllum | chlorophyllum, i n
Chlorophyta | Chlorophyta, orum n
Chloroptithalmum | Chloroptithalm(um, i n
Chloropyraminum | Chloropyramin(um, i n
Chloroquinum | Chloroquin(um, i n
Chlorotrianisenum | Chlorotrianisen(um, i n
Chlorperazinum | Chlorperazin(um, i n
Chlorpiprazinum | Chlorpiprazin(um, i n
Chlorpiprozinum | Chlorpiprozin(um, i n
Chlorprothixenum | Chlorprothixen(um, i n
Chlorqufnaldolum | Chlorqufnaldol(um, i n
Chlortetracyclinum | Chlortetracyclin(um, i n
Chlortrianisenum | Chlortrianisen(um, i n
Chlortrianisoestrolum | Chlortrianisoestrol(um, i n
Chlorum | Chlorum, i n
Chlorylenum | Chlorylen(um, i n
Chlothlxenum | Chlothlxen(um, i n
Chloxylum | Chloxyl(um, i n
choanae | choanae, arum f
Choaspes | Choaspes, is m
Choladinum | Choladin(um, i n
cholaemia | cholaemia, ae f
Cholagolum | Cholagol(um, i n
Cholambrinum | Cholambrin(um, i n
Cholamidum | Cholamid(um, i n
chole | chole, es f
Cholecinum | Cholecin(um, i n
cholecystectomia | cholecystectomia, ae f
cholecystitis | cholecystitis, idis f
cholecystogramma | cholecystogramma, atis n
cholecystographia | cholecystographia, ae f
cholecystopathia | cholecystopathia, ae f
cholecystostoma | cholecystostoma, atis n
cholecystostomia | I cholecystostomia, ae f
cholelithiasis | cholelithiasis, is f
Cholenzymum | Cholenzym(um, i n
cholestasis | cholestasis, is f
Choletrastum | Choletrast(um, i n
Cholevidum | Cholevid(um, i n
Chologonum | Chologon(um, i n
Cholografinum | Cholografin(um, i n
Cholosasum | Cholosas(um, i n
Cholospectum | Cholospect(um, i n
Choloterpum | Choloterp(um, i n
chondralis | chondralis, e анат.
Chondrichthyes | Chondrichthyes, um f
chondroblastus | chondroblastus, i m
