 
extramuralis | extramuralis, e анат.
extranuclearis | extranuclearis, e биолог.
extraordinarius | extraordinarius, a, um воен.
extraorganicus | extraorganicus, a, um анат.
extrapulmonalis | extrapulmonalis, e анат.
extrapyramidalis | extrapyramidalis, e анат.
extrauterinus | extrauterinus, a, um анат.
extremitas | extremitas, atis f
extremo | extremo adv.
extremum | I extremum adv.
extremus | extremus, a, um superl.
extrinsecus | extrinsecus adv.
exuo | exuo, ui, utum, ere воен.
exuviae | exuviae, arum f
