 
serrati | serrati, orum m
serrula | serrula, ae f
serta | serta, ae f
Sertanum | Sertan(um, i n
serum | I serum, i n
serus | serus, a, um поэт.
serva | serva, ae f
servator | servator, oris m
servatrix | servatrix, icis f
serviliter | serviliter adv.
servitium | servitium, i n
servitus | servitus, utis f
Servius | Servius, i m
servo | servo, avi, atum, are поэт.
servolus | servolus, i m
servula | servula, ae f
servulus | servulus (servolus), i m
servus | I servus, a, um m
sesamoides | sesamoides, is анат.
sesqui | sesqui adv.
sesquimodius | sesquimodius, i m
sessio | sessio, onis f
sessor | sessor, oris m
sestertium | sestertium, i n
sestertius | sestertius, i m
seta | seta, ae f
Sethadilum | Sethadil(um, i n
setiger | I setiger, era, erum m
Sevenalum | Sevenal(um, i n
severe | severe adv.
severitas | severitas, atis f
severus | I severus, a, um поэт.
Sevicainum | Sevicain(um, i n
Sevinalum | Sevinal(um, i n
Sevinolum | Sevinol(um, i n
Sevinonum | Sevinon(um, i n
sevum | sevum, i n
sexagies | sexagies (sexagiens) adv.
sexangularis | sexangularis, e биолог.
sexapodus | sexapodus, a, um биолог.
sexcenties | sexcenties adv.
sexennium | sexennium, i n
sexies | sexies (sexiens) adv.
sextans | sextans, antis m
sextarius | sextarius, i m
sextilis | I sextilis, e m
sextula | sextula, ae f
sextum | sextum adv.
sextus | I sextus, a, um m
sexualis | sexualis, e биолог.
sexus | sexus, is m
si | si conj.
sialographia | sialographia, ae f
sibilus | I sibilus, a, um m
sibiricus | sibiricus, a, um биолог.
Sibylla | Sibylla, ae f
sic | sic adv.
sica | sica, ae f
Sicani | Sicani, orum m
Sicania | Sicania, ae f
sicarius | sicarius, i m
siccitas | siccitas, atis f
sicco | sicco, avi, atum, are поэт.
siccum | siccum, i n
siccus | siccus, a, um поэт.
Sicilia | Sicilia, ae f
sicubi | sicubi conj.
Siculi | Siculi, orum m
sicunde | sicunde conj.
sicut | sicut (sicuti) adv.
Sicyon | Sicyon, onis m
Sidon | Sidon, onis f
sidus | sidus, eris n
Sigambri | Sigambri, orum m
