 
iambus | iambus, i m
intercessio | intercessio, onis f
intercessor | intercessor, oris m
interchondralis | interchondralis, e анат.
intercido | I intercido, cidi, --, ere pass.
interclavicularis | interclavicularis, e анат.
intercolumnaris | intercolumnaris, e анат.
intercolumnium | intercolumnium, i n
intercondylaris | intercondylaris, e анат.
intercostalis | intercostalis, e анат.
intercostobrachialis | intercostobrachialis, e анат.
intercruralis | intercruralis, e анат.
intercuneiformis | intercuneiformis, e анат.
intercursus | intercursus, us m
interdico | interdico, dixi, dictum, ere юр.
interdictio | interdictio, onis f
interdictum | interdictum, i n
interdiu | interdiu adv.
interdum | interdum. adv.
interea | interea adv.
interfatio | interfatio, onis f
interfector | interfector, oris m
interfoveolaris | interfoveolaris, e анат.
interglobularis | interglobularis, e анат.
intergyralis | intergyralis, e анат.
interhemisphericus | interhemisphericus, a, um анат.
interhyoideus | interhyoideus, a, um анат.
interim | interim adv.
interior | I interior, ius compar.
interitio | interitio, onis f
interitus | interitus, us m
interius | interius adj.
Interkellinum | Interkellin(um, i n
interlacunaris | interlacunaris, e анат.
interlobaris | interlobaris, e анат.
interlobularis | interlobularis, e анат.
interluceo | interluceo, luxi, --, ere impers.
interlunium | interlunium, i n
interluo | interluo, --, --, ere поэт.
intermaxillaris | intermaxillaris, e анат.
intermediolateralis | intermediolateralis, e анат.
intermediomedialis | intermediomedialis, e анат.
intermedius | intermedius, a, um анат.
intermembranaceus | intermembranaceus, a, um анат.
intermeningealis | intermeningealis, e анат.
intermenstruum | intermenstruum, i n
intermetacarpalis | intermetacarpalis, e анат.
intermetacarpeus | intermetacarpeus, a, um анат.
intermissio | intermissio, onis f
intermitto | intermitto, misi, missum, ere pass.
intermuscularis | intermuscularis, e анат.
internasalis | internasalis, e анат.
internecio | internecio (internicio), onis f
internicio | internicio, onis f
internodium | internodium, i n
internuntius | internuntius, i m
interolateralis | interolateralis, e анат.
interosseus | interosseus, a, um анат.
interparietalis | interparietalis, e анат.
interpeduncularis | interpeduncularis, e анат.
interpellatio | interpellatio, onis f
interphalangeus | interphalangeus, a, um анат.
Interphanum | Interphan(um, i n
interpolaris | interpolaris, e анат.
interpono | interpono, posui, positum, ere pass.
interpres | interpres, etis m
interpretatio | interpretatio, onis f
interpubicus | interpubicus, a, um анат.
interpunctio | interpunctio, onis f
interradicularis | interradicularis, e анат.
interregnum | interregnum, i n
interrex | interrex, regis m
interrogatio | interrogatio, onis f
interrogo | interrogo, avi, atum, are юр.
intersacralis | intersacralis, e анат.
interscapularis | interscapularis, e анат.
intersectio | intersectio, onis f
intersegmentalis | intersegmentalis, e анат.
intersigmoideus | intersigmoideus, a, um анат.
interspecificus | interspecificus, a, um биолог.
interspinalis | interspinalis, e анат.
interstitialis | interstitialis, e анат.
interstitium | interstitium, i n
intersum | intersum, fui, --, esse impers.
intersystemicus | intersystemicus, a, um анат.
intertendineus | intertendineus, a, um анат.
interthalamicus | interthalamicus, a, um анат.
intertragicus | intertragicus, a, um анат.
intertransversarius | intertransversarius, a, um анат.
intertrimentum | intertrimentum, i n
intertrochantericus | intertrochantericus, a, um анат.
intertubercularis | intertubercularis, e анат.
interuretericus | interuretericus, a, um анат.
intervallum | intervallum, i n
interventricularis | interventricularis, e анат.
interventus | interventus, us m
intervertebralis | intervertebralis, e анат.
intestinalis | intestinalis, e анат.
intestinum | intestinum, i m
Intestopanum | Intestopan(um, i n
intibum | intibum (intybum, intubum), i n
intima | intima, ae f
intime | intime adv.
intimus | intimus, a, um superl.
intoleranter | intoleranter adv.
intolerantia | intolerantia, ae f
intra | I intra adv.
intraabdominalis | intraabdominalis, e анат.
intraarterialis | intraarterialis, e анат.
intraarticularis | intraarticularis, e анат.
intraatrialis | intraatrialis, e анат.
Intrabilixum | Intrabilix(um, i n
intrabronchialis | intrabronchialis, e анат.
intracapsularis | intracapsularis, e анат.
intracardialis | intracardialis, e анат.
intracarpalis | intracarpalis, e анат.
intracellularis | intracellularis, e биолог.
intracerebellaris | intracerebellaris, e анат.
intracerebralis | intracerebralis, e анат.
Intracortum | Intracort(um, i n
intracranialis | intracranialis, e анат.
intracutaneus | intracutaneus, a, um анат.
intraduralis | intraduralis, e анат.
intrafascicularis | intrafascicularis, e анат.
intraglandularis | intraglandularis, e анат.
Intraiodum | Intraiod(um, i n
intrajugularis | intrajugularis, e анат.
intralaryngealis | intralaryngealis, e анат.
intralobaris | intralobaris, e анат.
intralobularis | intralobularis, e анат.
Intramedullaris | Intramedullaris, e анат.
intrameningealis | intrameningealis, e анат.
intramuralis | intramuralis, e анат.
intramuscularis | intramuscularis, e анат.
intraoccipitalis | intraoccipitalis, e анат.
intraocularis | intraocularis, e анат.
intraorganicus | intraorganicus, a, um анат.
intrapleuralis | intrapleuralis, e анат.
intrasegmentalis | intrasegmentalis, e анат.
intraspecificus | intraspecificus, a, um биолог.
intrasystemicus | intrasystemicus, a, um анат.
intrathecalis | intrathecalis, e анат.
intrathoracalis | intrathoracalis, e анат.
intrauterinalis | intrauterinalis, e анат.
Intravalum | Intraval(um, i n
intravascularis | intravascularis, e мед.
intravenosus | intravenosus, a, um анат.
intraventricularis | intraventricularis, e анат.
intrepide | intrepide adv.
intritus | I intritus, a, um part.
intro | I intro adv.
introitus | introitus, us m
introrsum | introrsum adv.
intubum | intubum, i n
intubus | intubus, i m
intumescentia | intumescentia, ae f
intus | intus adv.
intybum | intybum, i n
intybus | intybus, i m
inula | inula, ae f
inultus | inultus, a, um поэт.
inundatio | inundatio, onis f
inutilitas | inutilitas, atis f
inutiliter | inutiliter adv.
Invasinum | Invasin(um, i n
invectio | invectio, onis f
inveho | inveho, vexi, vectum, ere pass.
Invenolum | Invenol(um, i n
inventio | inventio, onis f
inventor | inventor, oris m
inventrix | inventrix, icis f
inventum | inventum, i n
inversus | inversus, a, um анат.
invesperascit | invesperascit, --, --, ere impers.
investigator | investigator, oris m
invetero | invetero, avi, atum, are pass.
invidentia | invidentia, ae f
invidia | invidia, ae f
invidiose | invidiose adv.
invisus | I invisus, a, um поэт.
invitamentum | invitamentum, i n
invitatio | invitatio, onis f
invocatus | I invocatus, a, um part.
involucrum | involucrum, i n
io | I io! interj.
Iochinolum | Iochinol(um, i n
Iodatolum | Iodatol(um, i n
Iodglobinum | Iodglobin(um, i n
Iodgorgonum | Iodgorgon(um, i n
Iodidum | Iodid(um, i n
Iodinolum | Iodinol(um, i n
Iodipamidum | Iodipamid(um, i n
Iodipinum | Iodipin(um, i n
Iodobilanum | Iodobilan(um, i n
Iodobilum | Iodobil(um, i n
Iodochlorhydroxyquinum | Iodochlorhydroxyquin(um, i n
Iodocillina | Iodocillina, ae f
Iodoformium | Iodoformi(um, i n
Iodognostum | Iodognost(um, i n
Iodoleinum | Iodolein(um, i n
Iodolipolum | Iodolipol(um, i n
Iodonatum | Iodonat(um, i n
Iodopyracetum | Iodopyracet(um, i n
Iodtriolum | Iodtriol(um, i n
Iodum | Iodum, i n
Ioduronum | Ioduron(um, i n
Iofendilatum | Iofendilat(um, i n
Iones | Iones, um m
Iopagnostum | Iopagnost(um, i n
