bubulcus | bubulcus, i m
Bucarbanum | Bucarbanum, i n
bucca | bucca, ae f
buccalis | buccalis, e анат.
buccina | buccina, ae f
buccinator | buccinator, aris m
buccinatorius | buccinatorius, a, um анат.
buccopharyngeus | buccopharyngeus, a, um анат.
Bucephala | I Bucephala, ae f
Bucephalas | Bucephalas, ae m
Bucephale | Bucephale, es f
Bucephalus | I Bucephalus, i f
bucina | bucina (buccina), ae f
bucinator | bucinator (buccinator), oris m
bucolica | bucolica, orum n
bucula | bucula, ae f
Budalia | Budalia, ae f
bufo | bufo, onis m
Buforminum | Buforminum, i n
bulbiformis | bulbiformis, e анат.
bulbourethralis | bulbourethralis, e анат.
bulbus | bulbus, i m
buleuterion | buleuterion (-um), i n
Bulgaria | Bulgaria, ae f
bulla | bulla, ae f
Bullidenses | Bullidenses, ium m
Bullienses | Bullienses, ium m
Bullini | Bullini, orum m
Bulliones | Bulliones, um m
Bullis | Bullis (Byllis), idis f
bumastus | bumastus, i f
Bupalus | Bupalus, i m
Bupatolum | Bupatolum, i n
Buplerinum | Buplerinum, i n
Burdigala | Burdigala, ae f
Burdilorum | Burdilorum, i n
burgensis | burgensis, is m
Buri | Buri, orum m
buris | buris, is f
bursa | bursa, ae f
Busiris | Busiris, idis m
bustum | bustum, i n
Butadionum | Butadionum, i n
Butalginum | Butalginum, i n
Butalidonum | Butalidonum, i n
Butapyrinum | Butapyrinum, i n
Butartilum | Butartilum, i n
Butazolidinum | Butazolidinum, i n
Butedrinum | Butedrinum, i n
Buthrotii | Buthrotii, orum m
Buthrotum | Buthrotum, i n
Buthrotus | Buthrotus, i f
Butrotus | Butrotus, i m
Butylcainum | Butylcainum, i n
Butylnorsympatolum | Butylnorsympatolum, i n
Butylnorsynephrinum | Butylnorsynephrinum, i n
Butylpyrinum | Butylpyrinum, i n
Buxentum | Buxentum, i n
buxus | buxus, i f
Byblis | Byblis, idis f
Byllis | Byllis, idis f
Byrsa | Byrsa, ae f
Byzantii | Byzantii, orum m
Byzantium | Byzantium, i n
