 
thrombophlebitis | thrombophlebitis, idis f
Thrombosolum | Thrombosol(um, i n
Thrombotylum | Thrombotyl(um, i n
thrombus | thrombus, i m
Thucydides | Thucydides, is (i) m
thunnus | thunnus, i m
Thycapzolum | Thycapzol(um, i n
thymbra | thymbra, ae f
thymicus | thymicus, a, um анат.
Thymidazolum | Thymidazol(um, i n
Thymolum | Thymol(um, i n
thymum | thymum, i n
thymus | I thymus, i m
thynnus | thynnus (thunnus), i m
Thyranonum | Thyranon(um, i n
Thyreoidinum | Thyreoidin(um, i n
thyroarytenoideus | thyroarytenoideus, a, um анат.
thyrocervicalis | thyrocervicalis, e анат.
thyroepiglotticus | thyroepiglotticus, a, um анат.
thyrohyoideus | thyrohyoideus, a, um анат.
Thyroidum | Thyroid(um, i n
thyropharyngeus | thyropharyngeus, a, um анат.
Thyrosinum | Thyrosin(um, i n
Thyrotanum | Thyrotan(um, i n
Thyrotropinum | Thyrotropin(um, i n
thyrsus | thyrsus, i m
Ti. | Ti. сокр. от
tiara | tiara, ae f
Tiberis | Tiberis, is ( acc.
Tiberius | Tiberius, i m
tibia | tibia, ae f
tibiale | tibiale, is n
tibialis | tibialis, e анат.
tibicen | tibicen, inis m
tibicina | tibicina, ae f
tibicinium | tibicinium, i n
tibiocalcaneus | tibiocalcaneus, a, um анат.
tibiofibularis | tibiofibularis, e анат.
tibionavicularis | tibionavicularis, e анат.
Tibionum | Tibion(um, i n
tibiotalaris | tibiotalaris, e анат.
Tibisanum | Tibisan(um, i n
Tibizidum | Tibizid(um, i n
Tibonum | Tibon(um, i n
Tibullus | Tibullus, i m
Tibur | Tibur, uris n
Tibutolum | Tibutol(um, i n
Ticinus | Ticinus, i m
Tigellinus | Tigellinus, i m
Tigellius | Tigellius, i m
tigillum | tigillum, i n
tignum | tignum, i n
tigrinus | tigrinus, a, um биолог.
Tigris | Tigris, is (idis) m
tigris | tigris, idis (is) m
Tilcyprinum | Tilcyprin(um, i n
tilia | tilia, ae f
Timaeus | Timaeus, i m
timide | timide adv.
timiditas | timiditas, atis f
timor | timor, oris m
Timosinum | Timosin(um, i n
tinctura | tinctura, ae f
tinea | tinea (tinia), ae f
tinia | tinia, ae f
tinnitus | tinnitus, us m
tintinnabulum | tintinnabulum, i n
tinus | tinus, i f
Tioctacidum | Tioctacid(um, i n
Tioctanum | Tioctan(um, i n
Tiofosylum | Tiofosyl(um, i n
Tiopanum | Tiopan(um, i n
Tiotioronum | Tiotioron(um, i n
Tiphenum | Tiphen(um, i n
Tiresias | Tiresias, ae m
Tirianum | Tirian(um, i n
tiro | tiro, onis m
tirocinium | tirocinium, i n
Tisiphone | Tisiphone, es f
Tisomycinum | Tisomycin(um, i n
Titan | Titan, anis m
Titanis | Titanis, idis (idos) f
Titanus | Titanus, i m
Titienses | Titienses, ium m
titubanter | titubanter adv.
titulus | titulus, i m
Titus | Titus, i m
Tizonum | Tizon(um, i n
Tochlorinum | Tochlorin(um, i n
Toclasum | Toclas(um, i n
Tocofynum | Tocofyn(um, i n
Tofranilum | Tofranil(um, i n
tofus | tofus (tophus), i m
toga | toga, ae f
togata | togata, ae f
togatus | I togatus, a, um m
togula | togula, ae f
Tolaminum | Tolamin(um, i n
Tolazolinum | Tolazolin(um, i n
Tolbusalum | Tolbusal(um, i n
Tolbutamidum | Tolbutamid(um, i n
Tolinonum | Tolinon(um, i n
tolleno | tolleno, onis m
tollo | tollo, sustuli, sublatum, ere воен.
Tolosa | Tolosa, ae f
Tolserolum | Tolserol(um, i n
Tolumidum | Tolumid(um, i n
Toluvanum | Toluvan(um, i n
tomentum | tomentum, i n
Tomi | Tomi, orum m
tomographia | tomographia, ae f
tondeo | tondeo, totondi, tonsum, ere поэт.
Tonedronum | Tonedron(um, i n
tonitrus | tonitrus, us m
tono | tono, tonui, --, are impers.
Tonocardum | Tonocard(um, i n
Tonocholinum | Tonocholin(um, i n
Tonogenum | Tonogen(um, i n
Tonolitum | Tonolit(um, i n
tonsa | tonsa, ae f
tonsilla | tonsilla, ae f
tonsillaris | tonsillaris, e анат.
tonsillectomia | tonsillectomia, ae f
tonsillitis | tonsillitis, idis f
tonsillotomia | tonsillotomia, ae f
tonsor | tonsor, oris; m
tonsura | tonsura, ae f
tonus | tonus, i m
Topanalginum | Topanalgin(um, i n
Tophosanum | Tophosan(um, i n
Topica | Topica, orum n
Topiclynum | Topiclyn(um, i n
Topocainum | Topocain(um, i n
Toraflonum | Toraflon(um, i n
toral | toral, alis n
toreuma | toreuma, atis n
Torfotum | Torfot(um, i n
Torinalum | Torinal(um, i n
tormentum | tormentum, i n
tornus | tornus, i m
torpedo | torpedo, inis f
torpor | torpor, oris m
torqueo | torqueo, torsi, tortum, ere поэт.
torquis | torquis (torques), is m
torrens | I torrens, entis m
torris | torris, is m
tortor | tortor, oris m
tortus | I tortus, a, um m
Torulinum | Torulin(um, i n
torus | torus, i m
Tosmilenum | Tosmilen(um, i n
tot | tot indecl.
totalis | totalis, e мед.
Totapenum | Totapen(um, i n
totidem | totidem indecl.
toties | toties (totiens) adv.
totum | totum, i n
totus | totus, a, um gen.
toxaemia | toxaemia, ae f
Toxapinum | Toxapin(um, i n
toxicologia | toxicologia, ae f
toxicon | toxicon n
toxicophobia | toxicophobia, ae f
toxicosis | toxicosis, is f
toxicus | toxicus, a, um мед.
trabea | trabea, ae f
trabecula | trabecula, ae f
trabs | trabs, trabis f
trachea | trachea, ae f
trachealis | trachealis, e анат.
tracheobronchialis | tracheobronchialis, e анат.
Trachiniae | Trachiniae, arum f
tractatio | tractatio, onis f
tractatus | tractatus, us m
tractim | tractim adv.
tractus | tractus, us m
traditio | traditio, onis f
Tradonum | Tradon(um, i n
traductio | traductio, onis f
