 
Norsulfazolum | Norsulfazol(um, i n
nos | nos pl.
Noscapinum | Noscapin(um, i n
nosocomium | nosocomium, i n
Nospanum | Nospan(um, i n
nostra | nostra, orum n
nostri | nostri, orum m
nota | nota, ae f
notatio | notatio, onis f
Notezinum | Notezin(um, i n
notio | notio, onis f
notitia | notitia, ae f
notus | I notus (notos), i m
Novabolum | Novabol(um, i n
novacula | novacula, ae f
novale | novale, is n
Novalginum | Novalgin(um, i n
novalis | I novalis, e f
Novamidazophenum | Novamidazophen(um, i n
Novamidonum | Novamidon(um, i n
Novamidum | Novamid(um, i n
Novaminum | Novamin(um, i n
Novapyrinum | Novapyrin(um, i n
Novarsanum | Novarsan(um, i n
Novarsenobenzenum | Novarsenobenzen(um, i n
Novarsenolum | Novarsenol(um, i n
Novasmosolum | Novasmosol(um, i n
novatrix | novatrix, icis f
nove | nove adv.
November | I November, bris m
Novembichinum | Novembichin(um, i n
Novembitolum | Novembitol(um, i n
noverca | noverca, ae f
novies | novies adv.
Noviodunum | Noviodunum, i n
novitas | novitas, atis f
novo | novo, avi, atum, are поэт.
Novobiocinum | Novobiocin(um, i n
Novocainum | Novocain(um, i n
Novocamidum | Novocamid(um, i n
Novocephalginum | Novocephalgin(um, i n
Novocillinum | Novocillin(um, i n
Novodrinum | Novodrin(um, i n
Novoimaninum | Novoimanin(um, i n
Novomycinum | Novomycin(um, i n
Novopanum | Novopan(um, i n
novum | novum, i, n
novus | novus, a, um superl.
nox | nox, noctis f
noxa | noxa, ae f
Noxalum | Noxal(um, i n
noxia | noxia, ae f
Nozinanum | Nozinan(um, i n
nubecula | nubecula, ae f
nubes | nubes, is f
nubigena | nubigena, ae m
nubila | nubila, orum n
nucha | nucha, ae f
nucleus | nucleus, i m
nudo | nudo, avi, atum, are воен.
nugae | nugae, arum f
nugator | nugator, oris m
nulla | nulla, ae f
nullum | nullum, i n
nullus | I nullus, a, um gen.
num | num adv.
Numantia | Numantia, ae f
numen | numen, inis n
numeratum | numeratum, i n
numerus | numerus, i m
Numida | Numida, ae m
Numidia | Numidia, ae f
Numitor | Numitor, oris m
nummulus | nummulus, i m
nummus | nummus (numus), i m
nunc | nunc adv.
nuncupatio | nuncupatio, onis f
nundinae | nundinae, arum f
nundinatio | nundinatio, onis f
nundinum | nundinum, i n
nunquam | nunquam adv.
nuntia | nuntia, ae f
nuntiatio | nuntiatio, onis f
nuntium | nuntium, i n
nuntius | I nuntius, a, um m
nuper | nuper adv.
nupta | nupta, ae f
nuptiae | nuptiae, arum f
nurus | nurus, us f
nusquam | nusquam adv.
nutricius | I nutricius, a, um анат.
nutricula | nutricula, ae f
nutriens | nutriens, ntis биолог.
nutrimen | nutrimen, inis n
nutrimenta | nutrimenta, orum n
nutrio | nutrio, ivi (ii), itum, ire поэт.
nutrix | nutrix, icis f
nutus | nutus, us m
nux | nux, nucis f
Nyazinum | Nyazin(um, i n
Nyctalum | Nyctal(um, i n
Nydranum | Nydran(um, i n
Nydrazidum | Nydrazid(um, i n
nympha | nympha, ae f
Nysa | Nysa (Nyssa), ae f
Nyseus | Nyseus (=Nyse^us), ei (eos) m
Nystafunginum | Nystafungin(um, i n
Nystatinum | Nystatin(um, i n
