 
peradolescens | peradolescens, entis m
peradolescentulus | peradolescentulus, i m
peraeque | peraeque adv.
Peragitum | Peragitum, i n
perago | perago, egi, actum, ere юр.
peragratio | peragratio, onis f
peramanter | peramanter adv.
perambulo | perambulo, avi, atum, are поэт.
Perandrenum | Perandrenum, i n
peranguste | peranguste adv.
peraro | peraro, avi, atum, are поэт.
perattente | perattente adv.
perbelle | perbelle adv.
perbene | perbene adv.
perbenigne | perbenigne adv.
perbreviter | perbreviter adv.
perca | perca, ae f
Percainum | Percainum, i n
Percaminum | Percaminum, i n
percelebro | percelebro, avi, atum, are pass.
perceleriter | perceleriter adv.
perceptio | perceptio, onis f
Perchlorethylenum | Perchlorethylenum, i n
percipio | percipio, cepi, ceptum, ere pf.
percommode | percommode adv.
percontatio | percontatio, onis f
percontator | percontator, oris m
Percortenum | Percortenum, i n
percursatio | percursatio, onis f
percursio | percursio, onis f
percussio | percussio, onis f
percussor | percussor, oris m
percussus | percussus, us m
perdifficiliter | perdifficiliter adv.
perdiligenter | perdiligenter adv.
perdisco | perdisco, didici, --, ere pf.
perdiserte | perdiserte adv.
perdite | perdite adv.
perditor | perditor, oris m
perdiu | perdiu adv.
perdix | perdix, icis m
perdo | perdo, didi, ditum, ere поэт.
perduco | perduco, duxi, ductum, ere поэт.
perductor | perductor, oris m
perduellio | perduellio, onis f
perduellis | perduellis, is m
peregre | peregre adv.
peregrina | peregrina, ae f
peregrinatio | peregrinatio, onis f
peregrinator | peregrinator, oris m
peregrinitas | peregrinitas, atis f
peregrinus | I peregrinus, a, um m
pereleganter | pereleganter adv.
Pereminum | Pereminum, i n
perendie | perendie adv.
perennis | perennis, e биолог.
perennitas | perennitas, atis f
perexigue | perexigue adv.
perfacete | perfacete adv.
perfacile | perfacile adv.
perfecte | perfecte adv.
perfectio | perfectio, onis f
perfector | perfector, oris m
perfero | perfero, tuli, latum, ferre pass.
perfidia | perfidia, ae f
perfidiose | perfidiose adv.
perforaculum | perforaculum, i n
perforatio | perforatio, onis f
perforatus | perforatus, a, um анат.
perfuga | perfuga, ae m
perfugium | perfugium, i n
perfunctio | perfunctio, onis f
perfundo | perfundo, fudi, fusum, ere, pass.
Pergamum | Pergamum, i n
pergraviter | pergraviter adv.
perhonorifice | perhonorifice adv.
perhumaniter | perhumaniter adv.
Perhydritum | Perhydritum, i n
Perhydrolum | Perhydrolum, i n
perianalis | perianalis, e анат.
perianthium | perianthium, i n
periapicalis | periapicalis, e анат.
