lignor |  lignor, atus sum, ari
lignum |  lignum, i n
ligo |  I ligo, avi, atum, are m
ligreus |  ligreus, a, um
Ligures |  Ligures, um m
Liguria |  Liguria, ae f
ligurrio |  ligurrio (ligurio), ivi (ii), itum, ire
ligustrum |  ligustrum, i n
Likudenum |  Likuden(um, i n
Liliidae |  Liliidae, arum f
lilium |  lilium, i n
lima |  lima, ae f
Limarsolum |  Limarsol(um, i n
limatus |  limatus, a, um
limbus |  limbus, i m
limen |  limen, inis n
limes |  limes, itis m
limitaneus |  limitaneus, a, um
limitans |  limitans, antis
limnobius |  limnobius, a, um биолог.
limnophilus |  limnophilus, a, um биолог.
limo |  limo, avi, atum, are
limosus |  limosus, a, um
limpha |  limpha, ae f
limus |  I limus, a, um m
Linaetholum |  Linaethol(um, i n
Lincocinum |  Lincocin(um, i n
linea |  linea (linia), ae f
lineamentum |  lineamentum, i n
lineus |  lineus, a, um
Linfolysinum |  Linfolysin(um, i n
lingua |  lingua, ae f
lingualis |  lingualis, e анат.
lingula |  lingula, ae f
lingularis |  lingularis, e анат.
linia |  linia, ae f
liniger |  liniger, era, erum
linimentum |  linimentum, i n
lino |  lino, livi (levi), litum, ere
Linolum |  Linol(um, i n
Linoralum |  Linoral(um, i n
linquo |  linquo, liqui, (lictum), ere pass.
linteatus |  linteatus, a, um
linter |  linter (lunter), tris f
linteum |  linteum, i n
linteus |  linteus, a, um
Lintexum |  Lintex(um, i n
linum |  linum, i n
Liothyroninum |  Liothyronin(um, i n
lipaemia |  lipaemia, ae f
Lipamidum |  Lipamid(um, i n
Lipavlonum |  Lipavlon(um, i n
Liphormonum |  Liphormon(um, i n
lipida |  lipida, orum n
Lipiodolum |  Lipiodol(um, i n
Lipocainum |  Lipocain(um, i n
Lipocerebrinum |  Lipocerebrin(um, i n
Lipoicus |  Lipoicus, a, um хим.
Lipolutinum |  Lipolutin(um, i n
lipoma |  lipoma, atis n
lippio |  lippio, ivi, itum, ire
lippitudo |  lippitudo, inis f
lippus |  lippus, a, um
lipuria |  lipuria, ae f
Liquaeminum |  Liquaemin(um, i n
Liquamarum |  Liquamar(um, i n
liquamen |  liquamen, inis n
Liquatolum |  Liquatol(um, i n
liquefacio |  liquefacio, feci, factum, ere
liquefio |  liquefio, factus sum, fieri pass.
liqueo |  liqueo, liqui (liqui), --, ere
liquesco |  liquesco, licui, --, ere
liquide |  liquide adv.
liquidus |  liquidus, a, um
Liquiritonum |  Liquiriton(um, i n
liquo |  liquo, avi, atum, are
liquor |  I liquor, --, liqui m
lis |  lis, litis f
Litarinum |  Litarin(um, i n
litatio |  litatio, onis f
liter |  liter...
lithiasis |  lithiasis, is f
Lithium |  Lithium, i n
lithophilus |  lithophilus, a, um биолог.
lithophyton |  lithophyton, i n
liticen |  liticen, inis m
litigiosus |  litigiosus, a, um
litigo |  litigo, avi, atum, are
lito |  lito, avi, atum, are
litoreus |  litoreus, a, um
littera |  littera (litera), ae f
litterate |  litterate adv.
litteratus |  litteratus, a, um
litterula |  litterula, ae f
littor |  littor...
littus |  littus, oris n
litura |  litura, ae f
litus |  litus, oris n
lituus |  lituus, i m
liveo |  liveo, --, --, ere
Livia |  Livia, ae f
Liviclimanum |  Livicliman(um, i n
lividus |  lividus, a, um
Livius |  Livius, a, um
livor |  livor, oris m
lixa |  lixa, ae m
Lixinum |  Lixin(um, i n
lobaris |  lobaris, e анат.
Lobesilum |  Lobesil(um, i n
lobularis |  lobularis, e анат.
lobulus |  lobulus, i m
lobus |  lobus, i m
Locacortenum |  Locacorten(um, i n
Localynum |  Localyn(um, i n
locatio |  locatio, onis f
locatum |  locatum, i n
loco |  loco, avi, atum, are
Locortenum |  Locorten(um, i n
Locri |  Locri, orum m
Locris |  Locris, idis (idos) f
loculus |  loculus, i m
locuples |  locuples, etis
locupleto |  locupleto, avi, atum, are
locus |  locus, i m
locusta |  locusta, ae f
logopaedia |  logopaedia, ae f
loligo |  loligo, inis f
lolium |  lolium, i n
lolligo |  lolligo, inis f
Londinium |  Londinium, i n
longaevus |  longaevus, a, um
Longamidum |  Longamid(um, i n
longe |  longe adv.
longicaudatus |  longicaudatus, a, um биолог.
longinquitas |  longinquitas, atis f
longinquus |  longinquus, a, um
longiracemosus |  longiracemosus, a, um биолог.
Longisulium |  Longisuli(um, i n
longitudinalis |  longitudinalis, e анат.
longitudo |  longitudo, inis f
longiusculus |  longiusculus, a, um
longum |  longum adv.
longurius |  longurius, i m
longus |  longus, a, um поэт.
loquacitas |  loquacitas, atis f
loquaciter |  loquaciter adv.
loquax |  loquax, quacis
loquela |  loquela (loquella), ae f
loquor |  loquor, cutus (quutus) sum, loqui
loratus |  loratus, a, um
lordosis |  lordosis, is f
Loretinum |  Loretin(um, i n
lorica |  lorica, ae f
loricatus |  loricatus, a, um
loricula |  loricula, ae f
Lorindenum |  Lorinden(um, i n
lorum |  lorum, i n
Lotophagi |  Lotophagi, orum (um) m
lotos |  lotos (-us), i f
lotus |  I lotus, a, um part.
Loxodonta |  Loxodonta, ae f
lubens |  lubens, entis
lubenter |  lubenter
Lubentina |  Lubentina, ae f
lubet |  lubet, buit (bitum est), ere
Lubomycinum |  Lubomycin(um, i n
lubricoideus |  lubricoideus, a, um биолог.
lubricus |  lubricus, a, um
Luca |  Luca, ae f
Lucanus |  Lucanus, i m
luce |  luce adv.
lucellum |  lucellum, i n
luceo |  luceo, luxi, --, ere impers.
Luceres |  Luceres, um m
lucerna |  lucerna, ae f
lucesco |  lucesco (lucisco), luxi, --, ere
luci |  luci adv.
lucide |  lucide adv.
Lucidilum |  Lucidil(um, i n
Lucidrilum |  Lucidril(um, i n
lucidus |  lucidus, a, um
lucifer |  I lucifer, era, erum m
lucifugus |  lucifugus, a, um
Lucilius |  Lucilius, a, um
lucisco |  lucisco
Lucofenum |  Lucofen(um, i n
Lucopeninum |  Lucopenin(um, i n
Lucortenum |  Lucorten(um, i n
Lucretia |  Lucretia, ae f
Lucretius |  Lucretius, a, um
lucror |  lucror, atus sum, ari
lucrosus |  lucrosus, a, um
lucrum |  lucrum, i n
lucta |  lucta, ae f
luctamen |  luctamen, inis n
luctatio |  luctatio, onis f
luctator |  luctator, oris m
luctificus |  luctificus, a, um
luctisonus |  luctisonus, a, um
lucto |  lucto, --, --, are
luctor |  luctor, atus sum, ari
luctuose |  luctuose adv.
luctuosus |  luctuosus, a, um поэт.
luctus |  luctus, us m
lucubro |  lucubro, avi, atum, are
luculentus |  luculentus, a, um
Lucullus |  Lucullus, i m
lucus |  lucus, i m
ludibrium |  ludibrium, i n
ludibundus |  ludibundus, a, um
ludicra |  ludicra, orum n
ludicrus |  ludicrus, a, um
ludificatio |  ludificatio, onis f
ludifico |  ludifico, avi, atum, are
ludificor |  ludificor, atus sum, ari
ludio |  ludio, onis m
ludius |  ludius, i m
ludo |  ludo, lusi, lusum, ere
ludus |  ludus, i m
lues |  lues, is f
Lugdunum |  Lugdunum, i m
lugeo |  lugeo, luxi, luctum, ere
lugubria |  lugubria, ium n
lugubris |  lugubris, e поэт.
lumbalis |  lumbalis, e анат.
lumbi |  lumbi, orum m
lumbocostalis |  lumbocostalis, e анат.
lumbodorsalis |  lumbodorsalis, e анат.
lumboiliacalis |  lumboiliacalis, e анат.
lumboinguinalis |  lumboinguinalis, e анат.
lumbosacralis |  lumbosacralis, e анат.
lumbricalis |  lumbricalis, e анат.
lumbricus |  lumbricus, i m
lumbus |  lumbus, i m
lumen |  lumen, inis n
Luminalum |  Luminal(um, i n
luna |  luna, ae f
lunaris |  lunaris, e
lunatus |  lunatus, a, um
luno |  luno, avi, atum, are
lunter |  lunter, tris f
lunula |  lunula, ae f
luo |  luo, lui, luitum (lutum), ere
lupa |  lupa, ae f
lupata |  lupata, orum n
lupati |  lupati, orum m
lupatus |  lupatus, a, um
Lupercalia |  Lupercalia, ium (orum) n
Lupercus |  Lupercus, i m
lupinum |  lupinum, i n
lupinus |  I lupinus, a, um m
luposus |  luposus, a, um мед.
lupus |  lupus, i m
Luridinum |  Luridin(um, i n
luridus |  luridus, a, um поэт.
Luronitum |  Luronit(um, i n
luscinia |  luscinia, ae f
luscus |  luscus, a, um
Lusitania |  Lusitania, ae f
lusor |  lusor, oris m
lustralis |  lustralis, e
lustratio |  lustratio, onis f
lustro |  lustro, avi, atum, are
lustrum |  I lustrum, i n
lusus |  lusus, us m
Luteoganum |  Luteogan(um, i n
luteolus |  luteolus, a, um
Luteopurum |  Luteopur(um, i n
Luteostabum |  Luteostab(um, i n
Luteosteronum |  Luteosteron(um, i n
Lutetia |  Lutetia, ae или Lutetia Parisiorum f
luteus |  I luteus, a, um
Lutocyclinum |  Lutocyclin(um, i n
Lutocycolum |  Lutocycol(um, i n
Lutoformum |  Lutoform(um, i n
Lutogylum |  Lutogyl(um, i n
Lutren |  Lutren (urn)
Lutromonum |  Lutromon(um, i n
Lutronum |  Lutron(um, i n
lutulentus |  lutulentus, a, um
lutum |  I lutum, i n
lux |  lux, lucis f
Luxidinum |  Luxidin(um, i n
luxuria |  luxuria, ae f
luxuries |  luxuries, ei f
luxurio |  luxurio, avi, atum, are
luxurior |  luxurior, atus sum, ari
luxuriose |  luxuriose adv.
luxuriosus |  luxuriosus, a, um
luxus |  I luxus, a, um m
Lycaeus |  Lycaeus, i m
Lyceum |  Lyceum, i n
lychnus |  lychnus, i m
Lycia |  Lycia, ae f
Lycium |  Lycium, i n
Lycopodium |  Lycopodium, i n
Lycurgus |  Lycurgus, i m
Lydasum |  Lydasum, i n
Lydia |  Lydia, ae f
lympha |  lympha (limpha), ae f
