infrapiriformis |  infrapiriformis, e анат.
infrascapularis |  infrascapularis, e анат.
infrasegmentalis |  infrasegmentalis, e анат.
infraspinalis |  infraspinalis, e анат.
infraspinatus |  infraspinatus, a, um анат.
infrasternalis |  infrasternalis, e анат.
infratemporalis |  infratemporalis, e анат.
infratrochlearis |  infratrochlearis, e анат.
infraumbilicalis |  infraumbilicalis, e анат.
infremo |  infremo, ui, --, ere
infrenatus |  I infrenatus, a, um part.
infrendo |  infrendo, --, --, ere
infrenis |  infrenis, e
infreno |  infreno, avi, atum, are
infrenus |  infrenus, a, um
infrequens |  infrequens, entis
infrequentia |  infrequentia, ae f
infringo |  infringo, fregi, fractum, ere
infrons |  infrons, frondis
infula |  infula, ae f
infumus |  infumus, a, um
infundibularis |  infundibularis, e анат.
infundibulum |  infundibulum, i n
infundo |  infundo, fudi, fusum, ere pass.
infusco |  infusco, avi, atum, are
infusum |  infusum, i n
ingemino |  ingemino, avi, atum, are
ingemisco |  ingemisco, gemui, --, ere
ingemo |  ingemo, gemui, --, ere
ingeneratus |  ingeneratus, a, um
ingenero |  ingenero, avi, atum, are
ingeniosus |  ingeniosus, a, um
ingenium |  ingenium, i n
ingenius |  ingenius, a, um
ingens |  ingens, entis
ingenuitas |  ingenuitas, atis f
ingenuus |  ingenuus, a, um
ingero |  ingero, gessi, gestum, ere
ingigno |  ingigno, genui, genitum, ere
inglorius |  inglorius, a, um
ingluvies |  ingluvies, ei f
ingrate |  ingrate adv.
ingratificus |  ingratificus, a, um
ingratiis |  ingratiis adv.
ingratus |  ingratus, a, um
ingravesco |  ingravesco, --, --, ere
ingravo |  ingravo, avi, atum, are
ingredior |  ingredior, gressus sum, gredi
ingressio |  ingressio, onis f
ingressus |  ingressus, us m
ingruo |  ingruo, grui, --, ere
inguen |  inguen, inis n
inguinalis |  inguinalis, e анат.
ingurgito |  ingurgito, avi, --, are
ingustatus |  ingustatus, a, um
inhabilis |  inhabilis, e
inhabitabilis |  inhabitabilis, e
inhabito |  inhabito, avi, atum, are
inhaereo |  inhaereo, haesi, haesum, ere
inhaeresco |  inhaeresco, haesi, haesum, ere
Inhalanum |  Inhalan(um, i n
inhalo |  inhalo, avi, --, are
Inhalyptum |  Inhalypt(um, i n
inhibens |  inhibens, entis
inhibeo |  inhibeo, bui, bitum, ere
inhio |  inhio, avi, atum, are
inhonesto |  inhonesto, --, --, are
inhonestus |  inhonestus, a, um
inhonoratus |  inhonoratus, a, um
inhonorus |  inhonorus, a, um
inhorreo |  inhorreo, --, --, ere
inhorresco |  inhorresco, horrui, --, ere
inhospitalis |  inhospitalis, e
inhospitus |  inhospitus, a, um
inhumane |  inhumane adv.
inhumanitas |  inhumanitas, atis f
inhumaniter |  inhumaniter adv.
inhumanus |  inhumanus, a, um
inhumatus |  inhumatus, a, um
inibi |  inibi adv.
inicio |  inicio
inicus |  inicus, a, um
inimice |  inimice adv.
inimicitia |  inimicitia, ae f
inimico |  inimico, avi, atum, are
inimicus |  I inimicus, a, um поэт.
inique |  inique adv.
iniqui |  iniqui, orum m
iniquitas |  iniquitas, atis f
iniquus |  iniquus (inicus), a, um
initio |  initio, avi, atum, are
initium |  initium, i n
initus |  initus, us m
injectio |  injectio, onis f
injicio |  injicio (в  praes.
injucundus |  injucundus, a, um
injungo |  injungo, junxi, junctum, ere
injuratus |  injuratus, a, um
injuria |  injuria, ae f
injuriose |  injuriose adv.
injuriosus |  injuriosus, a, um
injurius |  injurius, a, um
injussu |  injussu abl.
injussus |  injussus, a, um
injuste |  injuste adv.
injustitia |  injustitia, ae f
injustum |  injustum, i n
injustus |  injustus, a, um
inl |  inl...
inm |  inm...
innabilis |  innabilis, e
innascor |  innascor, natus sum, nasci
innato |  innato, avi, atum, are
innatus |  innatus, a, um
innavigabilis |  innavigabilis, e
innecto |  innecto, nexui, nexum, ere
innervatio |  innervatio, onis f
innitor |  innitor, nixus (nisus) sum, niti
inno |  inno, avi, atum, are
innocens |  innocens, entis
innocentia |  innocentia, ae f
innocue |  innocue adv.
innocuus |  innocuus, a, um
innominatus |  innominatus, a, um анат.
innotesco |  innotesco, notui, --, ere
innovo |  innovo, avi, --, are
innoxius |  innoxius, a, um
innubo |  innubo, nupsi, --, ere
innubus |  innubus, a, um
innumerabilis |  innumerabilis, e
innumerus |  innumerus, a, um
innuo |  innuo, nui, --, ere
innuptae |  innuptae, arum f
innuptus |  innuptus, a, um
inoblitus |  inoblitus, a, um
inobrutus |  inobrutus, a, um
inobservatus |  inobservatus, a, um
inodorus |  inodorus, a, um биолог.
inoffensus |  inoffensus, a, um
inofficiosus |  inofficiosus, a, um
inolesco |  inolesco, olevi, --, ere
inominatus |  inominatus, a, um
Inonotus |  Inonotus, i m
inopia |  inopia, ae f
inopinans |  inopinans, antis
inopinato |  inopinato adv.
inopinatum |  inopinatum, i n
inopinatus |  inopinatus, a, um
inopinus |  inopinus, a, um
