memini |  memini, meminisse defect.
Memnon |  Memnon, onis m
memor |  memor, oris
memorabilis |  memorabilis, e
memorandus |  memorandus, a, um
memoria |  memoria, ae f
memoriter |  memoriter adv.
memoro |  memoro, avi, atum, are
Memphis |  Memphis, idis f
mena |  mena, ae f
Menander |  Menander (Menandrus), dri m
menda |  menda, ae f
mendacium |  mendacium, i n
mendax |  I mendax, acis m
mendicitas |  mendicitas, atis, f
mendico |  mendico, avi, atum, are
mendicus |  mendicus, a, um
mendosus |  mendosus, a, um
mendum |  mendum, i n
Meneleus |  Meneleus, i m
Menformonum |  Menformon(um, i n
meningitis |  meningitis, idis f
meningocele |  meningocele, es f
meningoencephalitis |  meningoencephalitis, idis f
meningolysis |  meningolysis, is f
meninx |  meninx, ingis f
meniscofemoralis |  meniscofemoralis, e анат.
meniscus |  meniscus, i m
mens |  mens, mentis f
mensa |  mensa, ae f
mensarius |  mensarius, i m
mensis |  mensis, is m
mensor |  mensor, oris m
menstruum |  menstruum, i n
menstruus |  menstruus, a, um
mensura |  mensura, ae f
mensus |  mensus, a, um part.
menta |  menta, ae f
mentalis |  mentalis, e анат.
Mentha |  I Mentha, ae f
Mentholum |  Menthol(um, i n
mentio |  mentio, onis f
mentior |  mentior, itus sum, iri
mentitus |  mentitus, a, um
mentolabialis |  mentolabialis, e анат.
mentum |  mentum, i n
Menyanthes |  Menyanthes, ei f
Menzylanum |  Menzylan(um, i n
meo |  meo, avi, atum, are
Meoninum |  Meonin(um, i n
Mepacrinum |  Mepacrin(um, i n
Mepanitum |  Mepanit(um, i n
Mepavlonum |  Mepavlon(um, i n
Mepazinum |  Mepazin(um, i n
Meperidinum |  Meperidin(um, i n
Mephenaminum |  Mephenamin(um, i n
Mephenesinum |  Mephenesin(um, i n
Mephenonum |  Mephenon(um, i n
mephitis |  mephitis, is ( acc.
Mepholinum |  Mepholin(um, i n
Meprobamatum |  Meprobamat(um, i n
Meprobanum |  Meproban(um, i n
Meprodatum |  Meprodat(um, i n
Meprospanum |  Meprospan(um, i n
Meprotanum |  Meprotan(um, i n
Mequalonum |  Mequalon(um, i n
meracus |  meracus, a, um
Meratranum |  Meratran(um, i n
mercabilis |  mercabilis, e
Mercaleukinum |  Mercaleukin(um, i n
Mercaptaminum |  Mercaptamin(um, i n
Mercaptopurinum |  Mercaptopurin(um, i n
Mercapurenum |  Mercapuren(um, i n
Mercapurinum |  Mercapurin(um, i n
mercator |  mercator, oris m
mercatura |  mercatura, ae f
mercatus |  I mercatus, a, um m
Mercazolilum |  Mercazolil(um, i n
Mercazolum |  Mercazol(um, i n
mercennarius |  I mercennarius, a, um m
merces |  merces, edis f
Mercloranum |  Mercloran(um, i n
mercor |  mercor, atus sum, ari
Mercupurinum |  Mercupurin(um, i n
Mercurius |  Mercurius, i m
Mercurophyllinum |  Mercurophyllin(um, i n
Mercusalum |  Mercusal(um, i n
Mercuzanthinum |  Mercuzanthin(um, i n
Mercuzanum |  Mercuzan(um, i n
merda |  merda, ae f
mereo |  mereo, ui, itum, ere
meretricius |  meretricius, a, um
meretricula |  meretricula, аe f
meretrix |  meretrix, icis f
merges |  merges, itis f
mergo |  mergo, mersi, mersum, ere pass.
mergus |  mergus, i m
meridianus |  meridianus, a, um
meridies |  meridies, ei m
Meridilum |  Meridil(um, i n
meridionalis |  meridionalis, e анат.
Merilidum |  Merilid(um, i n
merito |  I merito adv.
meritorius |  meritorius, a, um
meritum |  meritum, i n
merologia |  merologia, ae f
Meropeninum |  Meropenin(um, i n
merops |  merops, opis m
Merparanum |  Merparan(um, i n
merso |  merso, avi, atum, are
Merthyllinum |  Merthyllin(um, i n
merula |  merula, ae f
merum |  merum, i n
merus |  merus, a, um
merx |  merx, mercis f
mesaraicus |  mesaraicus, a, um анат.
Mesatonum |  Mesaton(um, i n
mesencephalon |  mesencephalon, i n
mesenchyma |  mesenchyma, atis n
mesenterialis |  mesenterialis, e анат.
mesentericus |  mesentericus, a, um
mesenterium |  mesenterium, i n
mesoappendix |  mesoappendix, icis f
mesoblastus |  mesoblastus, i m
Mesocainum |  Mesocain(um, i n
mesocolon |  mesocolon, i n
mesocranium |  mesocranium, i n
mesoderma |  mesoderma, atis n
mesoduodenum |  mesoduodenum, i n
mesogastrium |  mesogastrium, i n
mesohepaticum |  mesohepaticum, i n
mesometrium |  mesometrium, i n
mesonephricus |  mesonephricus, a, um анат.
mesonephros |  mesonephros, i m
mesopharynx |  mesopharynx, yngis m
mesorchium |  mesorchium, i n
mesorectum |  mesorectum, i n
mesosalpinx |  mesosalpinx, ingis f
mesotendineum |  mesotendineum, i n
mesothelium |  mesothelium, i
mesovaricus |  mesovaricus, a, um анат.
mesovarium |  mesovarium, i n
Mesphenalum |  Mesphenal(um, i n
Messalina |  Messalina, ae f
Messana |  Messana, ae f
messias |  messias, ae m
messis |  messis, is f
messor |  messor, oris m
messorius |  messorius, a, um
Mestendiolum |  Mestendiol(um, i n
Mestinonum |  Mestinon(um, i n
meta |  meta, ae f
metabolismus |  metabolismus, i m
metacarpalia |  metacarpalia, ium n
metacarpalis |  metacarpalis, e анат.
metacarpeus |  metacarpeus, a, um анат.
metacarpus |  metacarpus, i m
Metacortalonum |  Metacortalon(um, i n
Metacortandracinum |  Metacortandracin(um, i n
Metacortandrolonum |  Metacortandrolon(um, i n
Metacortenum |  Metacorten(um, i n
Metacyclinum |  Metacyclin(um, i n
metallum |  metallum, i n
metameria |  metameria, ae f
metamerium |  metamerium, i n
Metaminum |  Metamin(um, i n
Metamizolum |  Metamizol(um, i n
Metamizylum |  Metamizyl(um, i n
metamorphosis |  metamorphosis, is f
Metanabolum |  Metanabol(um, i n
Metandienonum |  Metandienon(um, i n
Metandiolum |  Metandiol(um, i n
Metandrenum |  Metandren(um, i n
Metandriolum |  Metandriol(um, i n
metanephros |  metanephros, i m
metaphysis |  metaphysis, is f
metaplasia |  metaplasia, ae f
Metapyrinum |  Metapyrin(um, i n
metastasis |  metastasis, is f
metastaticus |  metastaticus, a, um мед.
metatarsalis |  metatarsalis, e анат.
metatarseus |  metatarseus, a, um анат.
metatarsus |  metatarsus, i m
metathalamus |  metathalamus, i m
metator |  metator, oris m
Metellus |  Metellus, i m
metencephalon |  metencephalon, i n
Methacinum |  Methacin(um, i n
Methacyclinum |  Methacyclin(um, i n
Methadienonum |  Methadienon(um, i n
Methaformum |  Methaform(um, i n
Methafronum |  Methafron(um, i n
Methamphetaminum |  Methamphetamin(um, i n
Methamphinum |  Methamphin(um, i n
Methandriolum |  Methandriol(um, i n
Methandrostenolonum |  Methandrostenolon(um, i n
