cenula |  cenula, ae f
cenum |  cenum, i m
Ceos |  Ceos f
cepa |  cepa (caepa), ae f
cepe |  cepe, is n
cephalgia |  cephalgia, ae f
cephalicus |  cephalicus, a, um анат.
Cephallania |  Cephallania, ae f
Cephallenes |  Cephallenes, um m
Cephallenia |  Cephallenia (Cephallania), ae f
Cephaloedis |  Cephaloedis, idis f
Cephaloeditani |  Cephaloeditani, orum m
Cephaloeditanus |  Cephaloeditanus, a, um
Cephaloedium |  Cephaloedium, i n
Cephalopoda |  Cephalopoda, orum n
Cephaloridinum |  Cephaloridin(um, i n
Cepheis |  Cepheis, idis f
Cephejus |  Cephejus, a, um
Cepheus |  Cepheus (=Cephe^us), ei m
Cephisias |  Cephisias, adis f
Cephisis |  Cephisis, idis f
Cephisius |  Cephisius, i m
Cephissias |  Cephissias, adis f
Cephissis |  Cephissis, idis f
Cephissius |  Cephissius, i m
Cephissus |  Cephissus (-os), i m
Cephisus |  Cephisus, i m
Ceporinum |  Ceporin(um, i n
cera |  cera, ae f
Ceramicus |  Ceramicus (-os), i m
cerarium |  cerarium, i n
Cerastae |  Cerastae, arum m
cerasus |  cerasus, i f
ceratocricoideus |  ceratocricoideus, a, um анат.
ceratopharyngeus |  ceratopharyngeus, a, um анат.
ceratus |  ceratus, a, um
Ceraunia |  Ceraunia, orum n
Ceraunii |  Ceraunii montes m
Cerbereus |  Cerbereus, a, um
Cerberus |  Cerberus (-os), i m
Cercina |  Cercina, ae f
Cercocebus |  Cercocebus, i m
cercurus |  cercurus, i m
Cercyo |  Cercyo, onis m
Cerealia |  Cerealia (Cerialia), ium n
Cerealis |  Cerealis (Cerialis), e
cerebellaris |  cerebellaris, e анат.
cerebellomedullaris |  cerebellomedullaris, e анат.
cerebellorubralis |  cerebellorubralis, e анат.
cerebellothalamicus |  cerebellothalamicus, a, um анат.
cerebellum |  cerebellum, i n
cerebralis |  cerebralis, e анат.
Cerebrolysinum |  Cerebrolysin(um, i n
cerebrosus |  cerebrosus, i m
cerebrum |  cerebrum, i n
ceremonia |  ceremonia, ae f
Ceres |  Ceres, eris f
cereus |  I cereus, a, um m
cerevisiae |  cerevisiae, arum f
Cerialia |  Cerialia, ium n
Cerialis |  Cerialis, e
Cerigelum |  Cerigel(um, i n
cerimonia |  cerimonia, ae f
cerintha |  cerintha, ae f
cerinthe |  cerinthe, es f
cerno |  cerno, crevi, cretum, ere
cernuus |  cernuus, a, um
cero |  cero, avi, atum, are
Cerocainum |  Cerocain(um, i n
cerritus |  cerritus, a, um
certamen |  certamen, inis n
certatim |  certatim adv.
certatio |  certatio, onis f
certe |  certe adv.
certo |  I certo adv.
certus |  certus, a, um
ceruleus |  ceruleus, а um
cerumen |  cerumen, inis n
ceruminosus |  ceruminosus, a, um анат.
cerva |  cerva, ae f
cervicalis |  cervicalis, e анат.
cervicothoracicus |  cervicothoracicus, a, um анат.
cervicula |  cervicula, ae f
cervinus |  cervinus, a, um
cervix |  cervix, icis f
cervus |  cervus, i m
cespes |  cespes (caespes), itis m
cessatio |  cessatio, onis f
cessator |  cessator, oris m
cesso |  cesso, avi, atum, are
Cestocidum |  Cestocid(um, i n
cestrosphendone |  cestrosphendone, es f
cetarium |  cetarium, i n
cetarius |  cetarius, i m
cetera |  cetera adv.
ceterum |  ceterum adv.
ceterus |  ceterus, a, um pl.
Cethegus |  Cethegus, i m
cetodosis |  cetodosis, is f
Cetorhinus |  Cetorhinus, i m
cetos |  cetos, i m
cetra |  cetra (caetra), ae f
cetrati |  cetrati, orum m
cetratus |  cetratus (caetratus) a, um преим.
cetus |  cetus (cetos), i m
ceu |  ceu adv.
Ceus |  Ceus, a, um
Ceutrones |  Ceutrones, um m
Cevalinum |  Cevalin(um, i n
Cevanolum |  Cevanol(um, i n
Cevexum |  Cevex(um, i n
Ceyx |  Ceyx, ycis m
Chaeronea |  Chaeronea, ae f
Chaetognata |  Chaetognata, orum n
Chalcedon |  Chalcedon, onis f
Chalcidenses |  Chalcidenses, ium m
Chalcidensis |  Chalcidensis, e
Chalcidicus |  Chalcidicus, a, um
Chalcioecus |  Chalcioecus, i f
Chalciope |  Chalciope, es f
Chalcis |  Chalcis, idis (idos) f
Chaldaea |  Chaldaea, ae f
Chaldaei |  Chaldaei, orum m
Chaldaeus |  Chaldaeus, a, um
Chaldaicus |  Chaldaicus, a, um
chalybeius |  chalybeius, a, um
Chalybes |  Chalybes, um m
chalybs |  chalybs, ybis m
chamomilla |  chamomilla, ae f
Chaones |  Chaones, um m
Chaonia |  Chaonia, ae f
Chaonis |  Chaonis, idis
Chaonius |  Chaonius, a, um
chaos |  chaos ( acc.
chara |  chara, ae f
Charax |  Charax, acis f
Charis |  Charis, itos f
charistia |  charistia (caristia), orum n
Charmadas |  Charmadas, ae m
Charon |  Charon, ontis (onis) m
Charondas |  Charondas, ae m
charta |  charta, ae f
Charybdis |  Charybdis, is f
Chatti |  Chatti (Catti), orum m
Chauci |  Chauci (Cauchi или Cauci, Cayci), orum m
cheilanthus |  cheilanthus, a, um биолог.
cheilitis |  cheilitis, idis f
cheiloplastica |  cheiloplastica, ae f
cheilorrhagia |  cheilorrhagia, ae f
cheiloschisis |  cheiloschisis, is f
cheilosis |  cheilosis, is f
cheirophyllus |  cheirophyllus, a, um бот.
chelae |  chelae, arum f
Chelatonum |  Chelaton(um, i n
Chelenum |  Chelen(um, i n
Chelidon |  Chelidon, onis f
Chelidoniae |  Chelidoniae insulae f
Chellina |  Chellina, ae f
chelydrus |  chelydrus, i m
chelys |  chelys ( acc.
Chemiazidum |  Chemiazid(um, i n
Chemiochinum |  Chemiochin(um, i n
Chemiofuranum |  Chemiofuran(um, i n
Chemocainum |  Chemocain(um, i n
Chemovirum |  Chemovir(um, i n
cheregra |  cheregra, ae f
Chersonesus |  Chersonesus, i f
Cherusci |  Cherusci, orum m
chiasma |  chiasma, atis n
Chii |  Chii, orum m
chiliarches |  chiliarches, ae m
chiliarchus |  chiliarchus, i m
Chilopoda |  Chilopoda, orum n
Chimaera |  Chimaera, ae f
Chimaerifer |  Chimaerifer, era, erum
chimiotherapia |  chimiotherapia, ae f
