pauci |  pauci, orum m
pauciflorus |  pauciflorus, a, um биолог.
paucifolius |  paucifolius, a, um биолог.
paucitas |  paucitas, atis f
pauculus |  pauculus, a, um
paucus |  paucus, a, um pl.
paulatim |  paulatim (paullatim) adv.
paulisper |  paulisper (paullisper) adv.
paulo |  paulo adv.
paululum |  I paululum adv.
paululus |  paululus (paullulus), a, um
paulum |  I paulum adv.
paulus |  I paulus (paullus), a, um m
pauper |  pauper, eris поэт.
pauperculus |  pauperculus, a, um
pauperies |  pauperies, ei f
paupero |  paupero, --, --, are
paupertas |  paupertas, atis f
Pausanias |  Pausanias, ae m
pausea |  pausea (pausia), ae f
pavefactus |  pavefactus, a, um
paveo |  paveo, pavi, --, ere
pavesco |  pavesco, --, --, ere
Pavesthesinum |  Pavesthesin(um, i n
pavide |  pavide adv.
pavidus |  I pavidus, a, um
pavimentatus |  pavimentatus, a, um
pavimentum |  pavimentum, i n
pavio |  pavio, ivi, itum, ire
pavito |  pavito, avi, --, are
pavo |  pavo, onis m
pavor |  pavor, oris m
pax |  pax, pacis f
Pecazinum |  Pecazin(um, i n
peccatum |  peccatum, i n
peccatus |  peccatus, us m
pecco |  pecco, avi, atum, are
pecten |  I pecten, inis m
pectinatus |  pectinatus, a, um анат.
pectinealis |  pectinealis, e
pectineus |  pectineus, a, um анат.
pecto |  pecto, pexi, pexum, ere
Pectolum |  Pectol(um, i n
pectoralis |  pectoralis, e анат.
pectus |  pectus, oris n
Pectussinum |  Pectussin(um, i n
pecu |  pecu, us n
pecuaria |  pecuaria, orum n
pecuarius |  I pecuarius, a, um m
peculator |  peculator, oris m
peculatus |  peculatus, us m
peculiaris |  peculiaris, e
peculium |  peculium, i n
pecunia |  pecunia, ae f
pecuniarius |  pecuniarius, a, um
pecuniosus |  pecuniosus, a, um
pecus |  I pecus, oris n
pedalis |  I pedalis, e анат.
pedarius |  pedarius, a, um
pedes |  pedes, itis m
pedester |  pedester, tris, tre
pedetemptim |  pedetemptim
pedetemtim |  pedetemtim (pedetemptim) adv.
pediaeus |  pediaeus, a, um анат.
pedica |  pedica, ae f
pediculus |  pediculus, i m
pedidius |  pedidius, a, um анат.
pedisequa |  pedisequa, ae f
pedisequus |  I pedisequus, a, um m
peditatus |  peditatus, us m
pedo |  pedo, pepedi, peditum, ere
Pedrolonum |  Pedrolon(um, i n
pedum |  pedum, i n
peduncularis |  peduncularis, e анат.
pedunculus |  pedunculus, i m
Peflavitum |  Peflavit(um, i n
pefuro |  pefuro, --, --, ere
Pegasiformes |  Pegasiformes, ium f
Pegasos |  Pegasos (-us), i m
pegma |  pegma, atis n
Pehanormum |  Pehanorm(um, i n
pejero |  pejero, avi, atum, are
pejor |  pejor compar.
pejus |  pejus compar.
pelagus |  pelagus, i n
Pelasgi |  Pelasgi, orum m
Pelazidum |  Pelazid(um, i n
Pelentanum |  Pelentan(um, i n
Peleus |  Peleus (= Pele^us), ei (eos) m
pelex |  pelex
pelicatus |  pelicatus
Pelides |  Pelides, ae m
Pelion |  Pelion, i n
Pella |  Pella, ae f
Pellagraminum |  Pellagramin(um, i n
pellax |  pellax, acis
pellectio |  pellectio, onis f
pellego |  pellego
pellex |  pellex
pellicatus |  pellicatus
pellicio |  pellicio, lexi, lectum, ere
pellicula |  pellicula, ae f
pellis |  pellis, is f
pellitus |  pellitus, a, um
pello |  pello, pepuli, pulsum, ere поэт.
pelluc |  pelluc...
pellucidus |  pellucidus, a, um анат.
Pelminum |  Pelmin(um, i n
Peloidinum |  Peloidin(um, i n
Peloidodestillatum |  Peloidodestillat(um, i n
Peloninum |  Pelonin(um, i n
Peloponnesos |  Peloponnesos (-us), i f
Pelops |  Pelops, opis m
peloris |  peloris, idis f
pelta |  pelta, ae f
peltastae |  peltastae, arum m
pelusia |  pelusia, ae f
pelvinus |  pelvinus, a, um анат.
Pelviranum |  Pelviran(um, i n
pelvis |  pelvis, is f
Pemalinum |  Pemalin(um, i n
pemma |  pemma, ae f
Penadurum |  Penadur(um, i n
penarius |  penarius (penuarius), a, um
penates |  penates, ium m
penatiger |  penatiger, era, erum
Penbritinum |  Penbritin(um, i n
pendeo |  pendeo, pependi, --, ere поэт.
Pendeponum |  Pendepon(um, i n
Pendiomidum |  Pendiomid(um, i n
pendo |  pendo, pependi, pensum, ere
pendulus |  pendulus, a, um поэт.
pene |  pene adv.
Penelopa |  Penelopa, ae f
penes |  penes praep.
Penesterum |  Penester(um, i n
Penethacillinum |  Penethacillin(um, i n
penetrabilis |  penetrabilis, e
penetralia |  penetralia, ium n
penetralis |  penetralis, e
penetro |  penetro, avi, atum, are
penicilli |  penicilli, orum m
Penicillinasum |  Penicillinas(um, i n
Penicillinum |  Penicillin(um, i n
penicillum |  penicillum, i n
penicillus |  penicillus, i m
peniciter |  peniciter adv.
Peninnus |  Peninnus, a, um
peninsula |  peninsula, ae f
Peninus |  Peninus, a, um
penis |  penis, is m
penitus |  penitus adv.
penna |  penna, ae f
pennatus |  pennatus, a, um
penniformis |  penniformis, e
penniger |  penniger, era, erum
pennula |  pennula, ae f
pensilis |  pensilis, e
pensio |  pensio, onis f
pensito |  pensito, avi, atum, are
penso |  penso, avi, atum, are
Penstaphocidum |  Penstaphocid(um, i n
pensum |  pensum, i n
pensus |  pensus, a, um
Pentabismolum |  Pentabismol(um, i n
Pentacidum |  Pentacid(um, i n
Pentacinum |  Pentacin(um, i n
pentadactylus |  pentadactylus, a, um биолог.
Pentafinum |  Pentafin(um, i n
Pentalginum |  Pentalgin(um, i n
Pentalongum |  Pentalong(um, i n
Pentalum |  Pental(um, i n
Pentamethazenum |  Pentamethazen(um, i n
Pentamethazolum |  Pentamethazol(um, i n
Pentamethonum |  Pentamethon(um, i n
Pentaminum |  Pentamin(um, i n
Pentamylonum |  Pentamylon(um, i n
Pentanitritum |  Pentanitrit(um, i n
Pentanitrolum |  Pentanitrol(um, i n
pentaradialis |  pentaradialis, e биолог.
Pentarylum |  Pentaryl(um, i n
Pentarytum |  Pentaryt(um, i n
Pentavitolum |  Pentavitol(um, i n
Pentazolum |  Pentazol(um, i n
Pentetrazolum |  Pentetrazol(um, i n
Penthranum |  Penthran(um, i n
Pentilenum |  Pentilen(um, i n
Pentitratum |  Pentitrat(um, i n
Pentonum |  Penton(um, i n
Pentovitum |  Pentovit(um, i n
Pentoxylum |  Pentoxyl(um, i n
Pentoxyverinum |  Pentoxyverin(um, i n
Pentralum |  Pentral(um, i n
Pentranum |  Pentran(um, i n
Pentrazolum |  Pentrazol(um, i n
Pentrexum |  Pentrex(um, i n
Pentrexylum |  Pentrexyl(um, i n
Pentritolum |  Pentritol(um, i n
Pentritta |  Pentritta, ae f
Pentylentetrazolum |  Pentylentetrazol(um, i n
Pentylum |  Pentyl(um, i n
penul |  penul...
penuria |  penuria, ae f
penus |  I penus, oris n
peplum |  peplum, i n
peplus |  peplus, i m
Pepsacidum |  Pepsacid(um, i n
Pepsaminum |  Pepsamin(um, i n
Pepsinum |  Pepsin(um, i n
Pepulsanum |  Pepulsan(um, i n
per |  per praep.
pera |  pera, ae f
perabsurdus |  perabsurdus, a, um
peraccommodatus |  peraccommodatus, a, um
peracer |  peracer, cris, cre
peracerbus |  peracerbus, a, um
Peraconum |  Peracon(um, i n
peractio |  peractio, onis f
peracute |  peracute adv.
peracutus |  peracutus, a, um
peradolescens |  peradolescens, entis m
peradolescentulus |  peradolescentulus, i m
peradpositus |  peradpositus, a, um
peraeque |  peraeque adv.
peragito |  peragito, avi, atum, arc
Peragitum |  Peragit(um, i n
perago |  perago, egi, actum, ere юр.
peragratio |  peragratio, onis f
peragro |  peragro, avi, atum, are
peramans |  peramans, antis
peramanter |  peramanter adv.
perambulo |  perambulo, avi, atum, are поэт.
peramoenus |  peramoenus, a, um
peramplus |  peramplus, a, um
Perandrenum |  Perandren(um, i n
peranguste |  peranguste adv.
perangustus |  perangustus, a, um
perantiquus |  perantiquus, a, um
perappositus |  perappositus, a, um
