Ristomycinum |  Ristomycin(um, i n
Ristozetinum |  Ristozetin(um, i n
risus |  risus, us m
Ritalinum |  Ritalin(um, i n
rite |  rite adv.
Rithmosum |  Rithmos(um, i n
ritualis |  ritualis, e
ritus |  ritus, us m
rivalis |  rivalis, is m
rivalitas |  rivalitas, atis f
Rivanolum |  Rivanol(um, i n
Rivivolum |  Rivivol(um, i n
rivulus |  rivulus, i m
rivus |  rivus, i m
rixa |  rixa, ae f
rixor |  rixor, atus sum, ari
robigo |  robigo (rubigo), inis f
roboreus |  roboreus, a, um
roboro |  roboro, avi, atum, are
robur |  robur, oris n
robustus |  robustus, a, um
rodo |  rodo, rosi, rosum, ere
roentgenogramma |  roentgenogramma, atis n
roentgenographia |  roentgenographia, ae f
roentgenologia |  roentgenologia, ae f
roentgenologicus |  roentgenologicus, a, um мед.
rogalis |  rogalis, e
rogatio |  rogatio, onis f
rogatiuncula |  rogatiuncula, ae f
rogator |  rogator, oris m
rogatus |  rogatus, us m
Rogitinum |  Rogitin(um, i n
rogito |  rogito, avi, atum, are
rogo |  rogo, avi, atum, are воен.
rogus |  rogus, i m
Roma |  Roma, ae f
Romanus |  I Romanus, i m
Rometinum |  Rometin(um, i n
Romicilum |  Romicil(um, i n
Romparkinum |  Romparkin(um, i n
Romulidae |  Romulidae, arum (um) m
Romulus |  Romulus, i m
Romycilum |  Romycil(um, i n
Rondarum |  Rondar(um, i n
Rondomycinum |  Rondomycin(um, i n
Ronqualonum |  Ronqualon(um, i n
Rontonum |  Ronton(um, i n
Ronylum |  Ronyl(um, i n
Roquinum |  Roquin(um, i n
rorarii |  rorarii, orum m
roro |  roro, avi, atum, are impers.
ros |  ros, roris m
rosa |  rosa, ae f
rosarium |  rosarium, i n
roscidus |  roscidus, a, um поэт.
rosetum |  rosetum, i n
roseus |  roseus, a, um
rosmarinus |  rosmarinus
rostra |  rostra, orum n
rostralis |  rostralis, e анат.
rostratus |  rostratus, a, um
rostriformis |  rostriformis, e биолог.
rostrum |  rostrum, i n
rota |  rota, ae f
rotatio |  rotatio, onis f
rotator |  rotator, oris m
Roterum |  Roter(um, i n
roto |  roto, avi, atum, are pass.
rotunde |  rotunde adv.
rotundifolius |  rotundifolius, a, um биолог.
rotundo |  rotundo, avi, atum, are поэт.
rotundus |  rotundus, a, um
Rovacholexum |  Rovacholex(um, i n
Rovamycinum |  Rovamycin(um, i n
Rovatinexum |  Rovatinex(um, i n
Roxinoidum |  Roxinoid(um, i n
Rubavitum |  Rubavit(um, i n
rubefacio |  rubefacio, feci, factum, ere
rubens |  rubens, entis
rubeo |  rubeo, rubui, --, ere
ruber |  ruber, bra, brum
rubesco |  rubesco, rubui, --, ere
rubetum |  rubetum, i n
rubeus |  rubeus, a, um
Rubia |  Rubia, ae f
Rubico |  Rubico, onis m
rubicundus |  rubicundus, a, um
Rubidomycinum |  Rubidomycin(um, i n
rubigo |  rubigo
Rubivitanum |  Rubivitan(um, i n
rubor |  rubor, oris m
Rubraminum |  Rubramin(um, i n
rubrica |  rubrica, ae f
