tirocinium |  tirocinium, i n
Tisiphone |  Tisiphone, es f
Tisomycinum |  Tisomycin(um, i n
Titan |  Titan, anis m
Titanis |  Titanis, idis (idos) f
Titanus |  Titanus, i m
Titienses |  Titienses, ium m
titillo |  titillo, avi, atum, are
titubanter |  titubanter adv.
titubo |  titubo, avi, atum, are
titulus |  titulus, i m
Titus |  Titus, i m
Tizonum |  Tizon(um, i n
Tochlorinum |  Tochlorin(um, i n
Toclasum |  Toclas(um, i n
Tocofynum |  Tocofyn(um, i n
Tofranilum |  Tofranil(um, i n
tofus |  tofus (tophus), i m
toga |  toga, ae f
togata |  togata, ae f
togatus |  I togatus, a, um m
togula |  togula, ae f
Tolaminum |  Tolamin(um, i n
Tolazolinum |  Tolazolin(um, i n
Tolbusalum |  Tolbusal(um, i n
Tolbutamidum |  Tolbutamid(um, i n
tolerabilis |  tolerabilis, e
tolerandus |  tolerandus, a, um
tolero |  tolero, avi, atum, are
Tolinonum |  Tolinon(um, i n
tolleno |  tolleno, onis m
tollo |  tollo, sustuli, sublatum, ere воен.
Tolosa |  Tolosa, ae f
Tolserolum |  Tolserol(um, i n
Tolumidum |  Tolumid(um, i n
Toluvanum |  Toluvan(um, i n
tomentum |  tomentum, i n
Tomi |  Tomi, orum m
tomographia |  tomographia, ae f
tondeo |  tondeo, totondi, tonsum, ere поэт.
Tonedronum |  Tonedron(um, i n
tonitrus |  tonitrus, us m
tono |  tono, tonui, --, are impers.
Tonocardum |  Tonocard(um, i n
Tonocholinum |  Tonocholin(um, i n
Tonogenum |  Tonogen(um, i n
Tonolitum |  Tonolit(um, i n
tonsa |  tonsa, ae f
tonsilla |  tonsilla, ae f
tonsillaris |  tonsillaris, e анат.
tonsillectomia |  tonsillectomia, ae f
tonsillitis |  tonsillitis, idis f
tonsillotomia |  tonsillotomia, ae f
tonsor |  tonsor, oris; m
tonsura |  tonsura, ae f
tonus |  tonus, i m
Topanalginum |  Topanalgin(um, i n
Tophosanum |  Tophosan(um, i n
tophus |  tophus
Topica |  Topica, orum n
Topiclynum |  Topiclyn(um, i n
Topocainum |  Topocain(um, i n
topographicus |  topographicus, a, um
Toraflonum |  Toraflon(um, i n
toral |  toral, alis n
toreuma |  toreuma, atis n
Torfotum |  Torfot(um, i n
Torinalum |  Torinal(um, i n
tormentum |  tormentum, i n
torno |  torno, avi, atum, are
tornus |  tornus, i m
torosus |  torosus, a, um
torpedo |  torpedo, inis f
torpeo |  torpeo, --, --, ere
torpesco |  torpesco, pui, --, ere
torpidus |  torpidus, a, um
torpor |  torpor, oris m
torquatus |  torquatus, a, um
torqueo |  torqueo, torsi, tortum, ere поэт.
torquis |  torquis (torques), is m
torrens |  I torrens, entis m
torreo |  torreo, torrui, tostum, ere
torridus |  torridus, a, um
torris |  torris, is m
tortilis |  tortilis, e
tortor |  tortor, oris m
tortuosus |  tortuosus, a, um
tortus |  I tortus, a, um m
Torulinum |  Torulin(um, i n
torus |  torus, i m
torvus |  torvus, a, um
Tosmilenum |  Tosmilen(um, i n
tot |  tot indecl.
totalis |  totalis, e мед.
Totapenum |  Totapen(um, i n
totidem |  totidem indecl.
toties |  toties (totiens) adv.
totum |  totum, i n
totus |  totus, a, um gen.
toxaemia |  toxaemia, ae f
Toxapinum |  Toxapin(um, i n
toxicologia |  toxicologia, ae f
toxicon |  toxicon n
toxicophobia |  toxicophobia, ae f
toxicosis |  toxicosis, is f
toxicus |  toxicus, a, um мед.
trabalis |  trabalis, e
trabea |  trabea, ae f
trabeatus |  trabeatus, a, um
trabecula |  trabecula, ae f
trabs |  trabs, trabis f
trachea |  trachea, ae f
trachealis |  trachealis, e анат.
tracheobronchialis |  tracheobronchialis, e анат.
Trachiniae |  Trachiniae, arum f
tractabilis |  tractabilis, e
tractatio |  tractatio, onis f
tractatus |  tractatus, us m
tractim |  tractim adv.
tracto |  tracto, avi, atum, are
tractus |  tractus, us m
traditio |  traditio, onis f
trado |  trado, didi, ditum, ere
Tradonum |  Tradon(um, i n
traduco |  traduco (transduco), duxi, ductum, ere
traductio |  traductio, onis f
tragi |  tragi, orum m
tragicus |  tragicus, a, um анат.
tragoedia |  tragoedia, ae f
tragoedus |  tragoedus, i m
tragula |  tragula, ae f
tragus |  tragus, i m
trahea |  trahea, ae f
traho |  traho, traxi, tractum, ere поэт.
traicio |  traicio
Trajanus |  Trajanus, i m
trajectus |  trajectus, us m
trajicio |  trajicio (transjicio), jeci, jectum, ere
tralaticius |  tralaticius
