semireductus |  semireductus, a, um
semirefectus |  semirefectus, a, um
semiruta |  semiruta, orum n
semirutus |  semirutus, a, um
semis |  semis, issis m
semisepultus |  semisepultus, a, um
semisomnus |  semisomnus, a, um
semispinalis |  semispinalis, e анат.
semisupinus |  semisupinus, a, um
semita |  semita, ae f
semitalis |  semitalis, e
semitendinosus |  semitendinosus, a, um анат.
semitransitorius |  semitransitorius, a, um биолог.
semiuncia |  semiuncia, ae f
semiunciarius |  semiunciarius, a, um
semiustulatus |  semiustulatus
semiustus |  semiustus (semustus), a, um
semivir |  semivir, viri m
semivivus |  semivivus, a, um
semotus |  semotus, a, um
semoveo |  semoveo, movi, motum, ere
semper |  semper adv.
sempiternus |  sempiternus, a, um
Sempronius |  Sempronius, a, um
semul |  semul
semustulatus |  semustulatus (semiustulatus), a, um
semustus |  semustus, a, um
senaculum |  senaculum, i n
senarius |  I senarius, a, um m
senator |  senator, oris m
senatorius |  senatorius, a, um
senatus |  senatus, us ( арх.
Sendoxanum |  Sendoxan(um, i n
Seneca |  Seneca, ae m
Senecio |  Senecio, onis f
senecta |  senecta, ae f
senectus |  I senectus, a, um f
senesco |  senesco, senui, --, ere
senex |  I senex, senis compar.
seni |  seni, ae, a
senilis |  senilis, e
senior |  senior, oris m
senium |  senium, i n
seniuncia |  seniuncia, ae f
Senones |  Senones, um m
sensim |  sensim adv.
sensitivus |  sensitivus, a, um
sensorius |  sensorius, а, um
sensus |  sensus, us m
sententia |  sententia, ae f
sententiola |  sententiola, ae f
Senthadilum |  Senthadil(um, i n
sentina |  sentina, ae f
sentio |  sentio, sensi, sensum, ire юр.
sentis |  sentis, is m
Sentonylum |  Sentonyl(um, i n
sentus |  sentus, a, um
seorsus |  seorsus adv.
separatim |  separatim adv.
separatio |  separatio, onis f
separatus |  separatus, a, um
separo |  separo, avi, atum, are
sepelio |  sepelio, pelivi (pelii), pultum, ire поэт.
sepes |  sepes
sepimentum |  sepimentum, i n
sepio |  sepio
sepono |  sepono, posui, positum, ere поэт.
sepse |  sepse
septalis |  septalis, e анат.
Septazilum |  Septazil(um, i n
septem |  septem
September |  I September, bris, bre abl.
septemdecim |  septemdecim (septendecim)
septemfluus |  septemfluus, a, um
septemjugatus |  septemjugatus, a, um биолог.
septemplex |  septemplex, icis
septemtrio |  septemtrio (septemptrio, septentrio), onis m
septemtrionalis |  septemtrionalis, e
septemvir |  septemvir, viri m
septemviralis |  septemviralis, e
septemviratus |  septemviratus, us m
septenarius |  septenarius, a, um
septendecim |  septendecim
septeni |  septeni, ae, a
septentr |  septentr...
septicus |  septicus, a, um мед.
septies |  septies (septiens) adv.
septimum |  septimum adv.
septimus |  septimus (septumus), a, um
septingentesimus |  septingentesimus, a, um
septingenti |  septingenti, ae, a
septomarginalis |  septomarginalis, e анат.
septuagesimus |  septuagesimus, a, um
septuaginta |  septuaginta
septulum |  septulum, i n
septum |  I septum, i n
septumus |  septumus
septunx |  septunx, uncis m
septus |  septus, a, um анат.
sepulcralis |  sepulcralis (sepulchralis), e
sepulcrum |  sepulcrum (sepulchrum), i n
sepultura |  sepultura, ae f
Sequana |  Sequana, ae m
sequando |  sequando adv.
Sequani |  Sequani, orum m
sequax |  sequax, acis поэт.
sequester |  I sequester, tra, trum m
Sequestrenum |  Sequestren(um, i n
sequor |  sequor, secutus (sequutus) sum, sequi
sera |  sera, ae f
Serenacum |  Serenac(um, i n
Serenalum |  Serenal(um, i n
serenitas |  serenitas, atis f
sereno |  sereno, avi, atum, are
serenum |  serenum, i n
serenus |  serenus, a, um
Sergosinum |  Sergosin(um, i n
seria |  seria, ae f
sericus |  sericus, a, um фармац.
series |  series, ei f
serio |  serio adv.
serissime |  serissime superl.
serium |  serium, i n
serius |  I serius compar.
sermo |  sermo, onis m
sermocinor |  sermocinor, atus sum, ari
sermunculus |  sermunculus, i m
sero |  I sero adv.
Serociclina |  Serociclina, ae f
seromucosus |  seromucosus, a, um анат.
Seromycinum |  Seromycin(um, i n
serosus |  serosus, a, um анат.
serotinus |  serotinus, a, um
Serotoninum |  Serotonin(um, i n
