ea |  ea adv.
Epidionum |  Epidion(um, i n
epidularis |  epidularis, e анат.
epifascialis |  epifascialis, e анат.
epigastralgia |  epigastralgia, ae f
epigastricus |  epigastricus, a, um анат.
epigastrium |  epigastrium, i n
epiglottis |  epiglottis, idis f
epigramma |  epigramma, atis n
epilepsia |  epilepsia, ae f
Epilinum |  Epilin(um, i n
epilogus |  epilogus, i m
Epimidum |  Epimid(um, i n
Epinephrinum |  Epinephrin(um, i n
epinephros |  epinephros, i m
epineurium |  epineurium, i n
epiorchium |  epiorchium, i n
epipharynx |  epipharynx, yngis f
epiphysialis |  epiphysialis, e анат.
epiphysis |  epiphysis, is f
epiploicus |  epiploicus, a, um анат.
epiploon |  epiploon, i n
epiptericus |  epiptericus, a, um анат.
Epirenanum |  Epirenan(um, i n
Epirinaminum |  Epirinamin(um, i n
Epirus |  Epirus (Epiros), i f
episcleralis |  episcleralis, e анат.
episternalis |  episternalis, e анат.
epistola |  epistola (epistula), ae f
epistriatum |  epistriatum, i n
epistropheus |  epistropheus, i m
epistula |  epistula, ae f
epitaphius |  epitaphius, i m
epitendineum |  epitendineum, i n
epithalamus |  epithalamus, i m
epithelialis |  epithelialis, e анат.
epithelium |  epithelium, i n
epitome |  epitome, es f
epitympanicus |  epitympanicus, a, um анат.
epodes |  epodes, um m
epodos |  epodos, i m
Epontolum |  Epontol(um, i n
eponychium |  eponychium, i n
epoophoron |  epoophoron, i n
epops |  epops, opis m
Eporalum |  Eporal(um, i n
epos |  epos n
epoto |  epoto, --, epotus, are
Eprazinum |  Eprazin(um, i n
Epsicapronum |  Epsicapron(um, i n
Eptoinum |  Eptoin(um, i n
epulae |  epulae, arum f
epularis |  epularis, e
epulo |  epulo, onis m
epulor |  epulor, atus sum, ari
epulum |  epulum, i n
EQ.R. |  EQ.R. сокр. от
equa |  equa, ae f
Equanilum |  Equanil(um, i n
equator |  equator, oris m
eques |  eques, itis m
equester |  equester, stris, stre
equidem |  equidem adv.
equinus |  I equinus, a, um анат.
Equiria |  Equiria, ium n
Equisetum |  Equisetum, i n
equitatus |  equitatus, us m
equito |  equito, avi, atum, are
equuleus |  equuleus (eculeus), i m
equus |  equus, i m
ER. |  ER. сокр. от
era |  era, ae f
erado |  erado, rasi, rasum, ere
Eragrostis |  Eragrostis, idis f
Eraminum |  Eramin(um, i n
Erato |  Erato, us f
Eratosthenes |  Eratosthenes, is m
Eravermum |  Eraverm(um, i n
ercisco |  ercisco, --, --, ere
Ercoquinum |  Ercoquin(um, i n
erctum |  erctum, i n
erector |  erector, oris m
erectus |  erectus, a, um
erepo |  erepo, repsi, --, ere
ereptio |  ereptio, onis f
ereptor |  ereptor, oris m
eres |  eres, edis m
Eretria |  Eretria, ae f
Erevitum |  Erevit(um, i n
erga |  erga praep.
Ergaminum |  Ergamin(um, i n
Ergamum |  Ergam(um, i n
ergasterium |  ergasterium, i n
ergastulum |  ergastulum, i n
ergo |  I ergo conj.
Ergocalciferolum |  Ergocalciferol(um, i n
Ergoclinum |  Ergoclin(um, i n
Ergofeinum |  Ergofein(um, i n
Ergoffinum |  Ergoffin(um, i n
Ergostabilum |  Ergostabil(um, i n
Ergotalum |  Ergotal(um, i n
Ergotaminum |  Ergotamin(um, i n
Ergotartratum |  Ergotartrat(um, i n
Ergotexum |  Ergotex(um, i n
Ergotinum |  Ergotin(um, i n
Ergotoxinum |  Ergotoxin(um, i n
ericius |  ericius, i m
Eridanum |  Eridan(um, i n
Eridanus |  Eridanus, i m
erigo |  erigo, erexi, erectum, ere
Erinys |  Erinys, yus f
eripio |  eripio, ripui, reptum, ere pass.
Eritrocina |  Eritrocina, ae f
Ermetrinum |  Ermetrin(um, i n
erogo |  erogo, avi, atum, are
Erpozidum |  Erpozid(um, i n
errabundus |  errabundus, a, um
erraticus |  erraticus, a, um
erratio |  erratio, onis f
errator |  errator, oris m
erratum |  erratum, i n
erratus |  erratus, us m
erro |  I erro, avi, atum, are m
error |  error, oris m
erubescendus |  erubescendus, a, um
erubesco |  erubesco, rubui, --, ere
eruca |  eruca, ae f
eructo |  eructo, avi, atum, are
erudio |  erudio, ivi (ii), itum, ire
erudite |  erudite adv.
eruditi |  eruditi, orum m
eruditio |  eruditio, onis f.
eruditus |  eruditus, a, um
erumpo |  erumpo, rupi, ruptum, ere pass.
eruo |  eruo, rui, rutum, ere
eruptio |  eruptio, onis f
erus |  erus, i m
ervum |  ervum, i n
Erynitum |  Erynit(um, i n
Erysiminum |  Erysimin(um, i n
Erysimosidum |  Erysimosid(um, i n
Erysimum |  Erysim(um, i n
erythema |  erythema, etis n
Erythraeus |  Erythraeus, a, um
erythroblastus |  erythroblastus, i m
erythrocytopenia |  erythrocytopenia, ae f
erythrocytosis |  erythrocytosis, is f
erythrocytus |  erythrocytus, i m
erythrodermia |  erythrodermia, ae f
Erythromycinum |  Erythromycin(um, i n
erythropoesis |  erythropoesis, is f
esca |  esca, ae f
escendo |  escendo, scendi, scensum, ere
escensio |  escensio, onis f
Escodolum |  Escodol(um, i n
esculentus |  I esculentus, a, um
Esculozidum |  Esculozid(um, i n
Escuzanum |  Escuzan(um, i n
esophagectasia |  esophagectasia, ae f
esophageus |  esophageus, a, um анат.
esophagospasmus |  esophagospasmus, i m
esophagostenosis |  esophagostenosis, is f
esophagus |  esophagus, i m
esplano |  esplano, avi, atum, are
Esquiliae |  Esquiliae, arum f
Esqunlinus |  Esqunlinus, a, um
essedarius |  essedarius, i m
essedum |  essedum, i n
essurio |  essurio, --, riturus, ire
Estigynum |  Estigyn(um, i n
Estrenum |  Estren(um, i n
Estrilum |  Estril(um, i n
Estrobenum |  Estroben(um, i n
Estromeninum |  Estromenin(um, i n
Estronalum |  Estronal(um, i n
Estronum |  Estron(um, i n
Estrugenonum |  Estrugenon(um, i n
Estrusolum |  Estrusol(um, i n
esurio |  esurio (essurio), --, riturus, ire
et |  et conj.
Etaperazinum |  Etaperazin(um, i n
etenim |  etenim conj.
Eteocles |  Eteocles, is (eos) m
etesiae |  etesiae, arum m
Etfortilum |  Etfortil(um, i n
Ethambutolum |  Ethambutol(um, i n
Ethidolum |  Ethidol(um, i n
Ethinoralum |  Ethinoral(um, i n
Ethiodanum |  Ethiodan(um, i n
Ethionamidum |  Ethionamid(um, i n
Ethisteronum |  Ethisteron(um, i n
ethmoideomaxillaris |  ethmoideomaxillaris, e анат.
Ethocainum |  Ethocain(um, i n
Ethodinum |  Ethodin(um, i n
Ethoformum |  Ethoform(um, i n
Ethomorphinum |  Ethomorphin(um, i n
Ethylmorphinum |  Ethylmorphin(um, i n
Ethymalum |  Ethymal(um, i n
etiam |  etiam conj.
etiamnum |  etiamnum adv.
etiamnunc |  etiamnunc
etiamsi |  etiamsi conj.
etiamtum |  etiamtum adv.
etiamtunc |  etiamtunc
Eticyclinum |  Eticyclin(um, i n
Eticyclolum |  Eticyclol(um, i n
Etiocarlidum |  Etiocarlid(um, i n
Etionizina |  Etionizina, ae f
Etivexum |  Etivex(um, i n
Etruria |  Etruria, ae f
etsi |  etsi conj.
eu |  eu interj.
euan |  euan interj
euans |  euans (euhans), antis
Eubinum |  Eubin(um, i n
Euboea |  Euboea, ae f
Eubolinum |  Eubolin(um, i n
eucalyptus |  eucalyptus, i f
Euclaminum |  Euclamin(um, i n
Euclides |  Euclides, is m
Eucodalum |  Eucodal(um, i n
Eucortonum |  Eucorton(um, i n
Eudormum |  Eudorm(um, i n
Euflavinum |  Euflavin(um, i n
eugenica |  eugenica, ae f
euhans |  euhans, antis
euhoe |  euhoe
Eukratonum |  Eukraton(um, i n
Eulaevomycetinum |  Eulaevomycetin(um, i n
Eulaxinum |  Eulaxin(um, i n
Eumenides |  Eumenides, um f
Euniazidum |  Euniazid(um, i n
Eunoctinum |  Eunoctin(um, i n
eunuchus |  eunuchus, i m
euoe |  euoe
Eupasalum |  Eupasal(um, i n
Euphodynum |  Euphodyn(um, i n
euphoria |  euphoria, ae f
Euphrates |  Euphrates, is m
Euphyllinum |  Euphyllin(um, i n
Eupraminum |  Eupramin(um, i n
Euripides |  Euripides, is m
euripus |  euripus, i m
Europa |  Europa, ae f
Eurotas |  Eurotas, ae m
eurous |  eurous, a, um
eurus |  eurus, i m
eurycladus |  eurycladus, a, um бот.
euryphagia |  euryphagia, ae f
eurytopus |  eurytopus, a, um биолог.
Euspiranum |  Euspiran(um, i n
Eusterolum |  Eusterol(um, i n
Eustigminum |  Eustigmin(um, i n
Eustralum |  Eustral(um, i n
Eustrophinum |  Eustrophin(um, i n
Eusynthomycinum |  Eusynthomycin(um, i n
Eutensolum |  Eutensol(um, i n
Euterpe |  Euterpe, es f
Eutizonum |  Eutizon(um, i n
eutrophus |  eutrophus, a, um биолог.
Eutropius |  Eutropius, i m
Euvernilum |  Euvernil(um, i n
evacuatio |  evacuatio, onis f
evado |  evado, vasi, vasum, ere
evagor |  evagor, atus sum, ari воен.
evalesco |  evalesco, valui, --, ere
evanesco |  evanesco, vanui, --, ere
evanidus |  evanidus, a, um
evans |  evans, antis
evasto |  evasto, avi, atum, are
Evazolum |  Evazol(um, i n
eveho |  eveho, vexi, vectum, ere pass.
evello |  evello, evelli (evulsi), evulsum, ere
evenio |  evenio, veni, ventum, ire
eventum |  eventum, i n
eventus |  eventus, us m
everbero |  everbero, avi, atum, are
everriculum |  everriculum, i n
everriculus |  everriculus, i m
everro |  everro, verri, versum, ere
eversio |  eversio, onis f
eversor |  eversor, oris m
everto |  everto (evorto), verti (vorti),versum (vorsum), ere
evestigatus |  evestigatus, a, um
evidens |  evidens, entis
evidenter |  evidenter adv.
evigilo |  evigilo, avi, atum, are
evincio |  evincio, vinxi, vinctum, ire
evinco |  evinco, vici, victum, ere
Evipalum |  Evipal(um, i n
Evipanum |  Evipan(um, i n
eviscero |  eviscero, (avi), atum, are
evitabilis |  evitabilis, e
Evitanum |  Evitan(um, i n
evito |  evito, avi, atum, are
evocati |  evocati, orum m
evocator |  evocator, oris m
evoco |  evoco, avi, atum, are
evoe |  evoe
evolo |  evolo, avi, atum, are
evolsus |  evolsus, a, um см.
evolutio |  evolutio, onis f
evolvo |  evolvo, volvi, volutum, ere
evomo |  evomo, mui, mitum, ere
evorto |  evorto, vorti, vorsum, ere
Evramycinum |  Evramycin(um, i n
evulgo |  evulgo, avi, atum, are
ex |  ex praep.
exacerbo |  exacerbo, avi, atum, are
Exacthinum |  Exacthin(um, i n
exactio |  exactio, onis f
exactor |  exactor, oris m
exactus |  exactus, a, um
exacuo |  exacuo, acui, acutum, ere
exadversum |  exadversum praep.
exadversus |  exadversus
