Guaseptum |  Guasept(um, i n
gubernaculum |  I gubernaculum, i n
gubernatio |  gubernatio, onis f
gubernator |  gubernator, oris m
gubernatrix |  gubernatrix, icis f
guberno |  guberno, avi, atum, are
Guimrinum |  Guimrin(um, i n
gula |  gula, ae f
Gumisolum |  Gumisol(um, i n
gumnasium |  gumnasium, i n
gurges |  gurges, itis m
gurgulio |  I gurgulio, onis m
gurgustium |  gurgustium, i n
gustatorius |  gustatorius, a, um анат.
gustatus |  gustatus, us m
gusto |  gusto, avi, atum, are
gustus |  gustus, us m
gutta |  gutta, ae f
guttur |  guttur, uris n
guttus |  guttus, i m
gymnandrus |  gymnandrus, a, um бот.
gymnasiarchus |  gymnasiarchus, i m
gymnasium |  gymnasium (gumnasium), i n
gymnicus |  gymnicus, a, um
Gymnospermae |  Gymnospermae, arum f
gymnospermus |  gymnospermus, a, um бот.
gynaeceum |  gynaeceum (gynaecium), i n
gynaecium |  gynaecium, i n
gynaecologia |  gynaecologia, ae f
gynaecologus |  gynaecologus, i m
gynaeconitis |  gynaeconitis, idis f
gynaecophobia |  gynaecophobia, ae f
gynecologicus |  gynecologicus, a, um мед.
Gynformonum |  Gynformon(um, i n
Gynlutinum |  Gynlutin(um, i n
Gynoestrylum |  Gynoestryl(um, i n
Gynofortum |  Gynofort(um, i n
gynophorum |  gynophorum, i n
Gynoralum |  Gynoral(um, i n
gypsatus |  gypsatus, a, um
gypsum |  gypsum, i n
Gyromytra |  Gyromytra, ae f
gyrus |  gyrus, i m
