deseco |  deseco, secui, sectum, are
desenesco |  desenesco, senui, --, ere
Deseptylum |  Deseptyl(um, i n
desero |  desero, serui, sertum, ere
deserta |  deserta, orum n
desertor |  desertor, oris m
desertus |  desertus, a, um
deservio |  deservio, ivi, itum, ire
deses |  deses, sidis
Desferalum |  Desferal(um, i n
Desferanum |  Desferan(um, i n
Desferexum |  Desferex(um, i n
Desferinum |  Desferin(um, i n
Desferrioxaminum |  Desferrioxamin(um, i n
desiderabilis |  desiderabilis, e
desiderium |  desiderium, i n
desidero |  desidero, avi, atum, are pass.
desidia |  desidia, ae f
desidiosus |  desidiosus, a, um
desido |  desido, sedi, --, ere
designator |  designator, oris m
designatus |  designatus, a, um
designo |  designo, avi, atum, are
desilio |  desilio, silui, sultum, ire
desinfectio |  desinfectio, onis f
desino |  desino, sivi (sii), situm, ere
desipio |  desipio, sipui, --, ere
desisto |  desisto, stiti, stitum, ere
desmodontium |  desmodontium, i n
desolatus |  desolatus, a, um
desolo |  desolo, avi, atum, are
Desopimonum |  Desopimon(um, i n
Desoxyephedrinum |  Desoxyephedrin(um, i n
Desoxynum |  Desoxyn(um, i n
Desoxyphedum |  Desoxyphed(um, i n
Desoxyphenobarbitonum |  Desoxyphenobarbiton(um, i n
Desoxyribonucleasa |  Desoxyribonucleasa, ae f
Desoxyribonucleasum |  Desoxyribonucleasum, i n
despectio |  despectio, onis f
despecto |  despecto, --, --, are
despectus |  despectus, us m
desperatio |  desperatio, onis f
desperatus |  desperatus, a, um
despero |  despero, avi, atum, are
despicatus |  I despicatus, a, um m
despicio |  despicio, spexi, spectum, ere
despondeo |  despondeo, spondi, sponsum, ere
despumo |  despumo, avi, atum, are
despuo |  despuo, --, --, ere
destillatus |  destillatus, a, um хим.
destillo |  destillo, avi, atum, are
destinata |  destinata, orum n
destinatio |  destinatio, onis f
destinatum |  destinatum, i n
destino |  destino, avi, atum, are
destituo |  destituo, stitui, stitutum, ere pass.
destitutio |  destitutio, onis f
destitutus |  destitutus, a, um
destringo |  destringo, strinxi, strictum, ere
destruo |  destruo, struxi, structum, ere
desuefacio |  desuefacio, feci, factum, ere pass.
desuesco |  desuesco, suevi, suetum, ere
desuetudo |  desuetudo, inis f
desultor |  desultor, oris m
desultorius |  desultorius, a, um
desum |  desum, fui, --, esse
desumo |  desumo, sumpsi, sumptum, ere
desuper |  desuper adv.
desurgo |  desurgo, surrexi, surrectum, ere
detego |  detego, texi, tectum, ere
detendo |  detendo, tendi, tensum, ere
detergeo |  detergeo, tersi, tersum, ere
deterior |  deterior, ius adj.
deterius |  deterius adv.
determino |  determino, avi, atum, are
