ob |  ob praep cum acc.
olivocerebellaris |  olivocerebellaris, e анат.
Olivomycinum |  Olivomycin(um, i n
olivospinalis |  olivospinalis, e анат.
olivum |  olivum, i n
olla |  olla, ae f
ollus |  ollus, a, um арх.
olor |  olor, oris m
olorinus |  olorinus, a, um
olus |  olus, eris n
olusculum |  olusculum, i n
Olympia |  Olympia, ae f
Olympias |  Olympias, adis f
Olympicus |  Olympicus, a, um
Olympus |  Olympus (-os), i m
Omainum |  Omain(um, i n
omasum |  omasum, i n
Omcilonum |  Omcilon(um, i n
omen |  omen, inis n
omentalis |  omentalis, e анат.
omentum |  omentum, i n
Omephinum |  Omephin(um, i n
Omerilum |  Omeril(um, i n
ominor |  ominor, atus sum, ari
omitto |  omitto, misi, missum, ere
omnigena |  omnigena, ae m
omnino |  omnino adv.
omniparens |  omniparens, entis
omnipotens |  omnipotens, entis
omnis |  omnis, e
Omnoponum |  Omnopon(um, i n
omoclavicularis |  omoclavicularis, e анат.
omohyoideus |  omohyoideus, a, um анат.
omphaloentericus |  omphaloentericus, a, um анат.
omphalomesentericus |  omphalomesentericus, a, um анат.
omphalus |  omphalus, i m
onager |  onager, gri m
onagrus |  onagrus, i m
oncogenesis |  oncogenesis, is f
oncologia |  oncologia, ae f
oncologus |  oncologus, i m
Oncovinum |  Oncovin(um, i n
oneraria |  oneraria, ae f
onerarius |  onerarius, a, um
onero |  onero, avi, atum, are поэт.
onerosus |  onerosus, a, um
ontogenesis |  ontogenesis, is f
ontogeneticus |  ontogeneticus, a, um биолог.
onus |  onus, eris n
onustus |  onustus, a, um
Onycholysinum |  Onycholysin(um, i n
onyx |  onyx, ychis m
oophoron |  oophoron, i n
oophorus |  oophorus, a, um анат.
opaco |  opaco, avi, atum, are
opacus |  opacus, a, um поэт.
opella |  opella, ae f
opera |  opera, ae f
operarius |  operarius, i m
operculum |  operculum, i n
operimentum |  operimentum, i n
operio |  operio, perui, pertum, ire
operior |  operior, --, iri
operor |  operor, atus sum, ari
operose |  operose adv.
operosus |  operosus, a, um
opertum |  opertum, i n
opes |  opes, um см.
Ophthalimidum |  Ophthalimid(um, i n
ophthalmicus |  ophthalmicus, a, um анат.
ophthalmologia |  ophthalmologia, ae f
ophthalmologus |  ophthalmologus, i m
Ophthalmolum |  Ophthalmol(um, i n
ophthalmoplegia |  ophthalmoplegia, ae f
ophthalmorrhagia |  ophthalmorrhagia, ae f
ophthalmorrhexis |  ophthalmorrhexis, is f
ophthalmoscopia |  ophthalmoscopia, ae f
Opialum |  Opial(um, i n
opifer |  opifer, era, erum
opifex |  opifex, icis m
opilio |  opilio (upilio), onis m
opimus |  opimus, a, um
opinatus |  I opinatus, a, um
opinio |  opinio, onis f
opinor |  opinor, atus sum, ari
Opipramolum |  Opipramol(um, i n
opitulor |  opitulor, atus sum, ari
Opium |  Opium, i n
oportet |  oportet, uit, --, ere impers.
oppedo |  oppedo, --, --, ere
opperior |  opperior, peritus (pertus) sum, iri
oppeto |  oppeto, ivi (ii), itum, ere
oppidanus |  I oppidanus, a, um m
oppido |  oppido adv.
oppidulum |  oppidulum, i n
oppidum |  oppidum, i n
oppignero |  oppignero, avi, atum, are
oppilo |  oppilo, (avi), atum, are
oppleo |  oppleo, plevi, pletum, ere
oppono |  oppono, posui, positum, ere
opportune |  opportune adv.
opportunitas |  opportunitas, atis f
opportunus |  opportunus, a, um
oppositus |  I oppositus, (us) sg.
oppressio |  oppressio, onis f
opprimo |  opprimo, pressi, pressum, ere
opprobrium |  opprobrium, i n
oppugnatio |  oppugnatio, onis f
oppugnator |  oppugnator, oris m
oppugno |  oppugno, avi, atum, are
ops |  I ops, opis f
opson |  opson...
optabilis |  optabilis, e
optatio |  optatio, onis f
optativus |  optativus, a, um
optato |  optato adv.
optatum |  optatum, i n
optatus |  optatus, a, um
opticus |  opticus, a, um анат.
optimas |  I optimas, atis m
optime |  optime adv.
optimus |  optimus, a, um superl.
Optinoxanum |  Optinoxan(um, i n
optio |  I optio, onis f
optivus |  optivus, a, um
opto |  opto, avi, atum, are
Optokainum |  Optokain(um, i n
optume |  optume
optumus |  optumus, a, um
opulens |  opulens, entis
opulenter |  opulenter adv.
opulentia |  opulentia, ae f
opulento |  opulento, --, --, are
opulentus |  opulentus, a, um
opus |  I opus n
opusculum |  opusculum, i n
ora |  I ora, ae f
Orabeticum |  Orabetic(um, i n
Orabetum |  Orabet(um, i n
Oracillinum |  Oracillin(um, i n
oraculum |  oraculum, i n
Oradexonum |  Oradexon(um, i n
Oradianum |  Oradian(um, i n
Oradiolum |  Oradiol(um, i n
Oradonum |  Oradon(um, i n
oralis |  oralis, e анат.
Oralutonum |  Oraluton(um, i n
Oranilum |  Oranil(um, i n
orarium |  orarium, i n
Orarsanum |  Orarsan(um, i n
oratio |  oratio, onis f
oratiuncula |  oratiuncula, ae f
orator |  orator, oris m
oratorius |  oratorius, a, um
Oratrenum |  Oratren(um, i n
oratus |  oratus, us m
Oravironum |  Oraviron(um, i n
orba |  orba, ae f
orbator |  orbator, oris m
orbicularis |  orbicularis, e анат.
orbiculus |  orbiculus, i m
orbis |  orbis, is m
orbita |  orbita, ae f
orbitalis |  orbitalis, e
orbitas |  orbitas, atis f
orbitoorbicularis |  orbitoorbicularis, e анат.
orbo |  orbo, avi, atum, are
orbus |  I orbus, a, um m
orca |  orca, ae f
orchas |  orchas, adis f
orchis |  orchis, is m
Orchomenos |  Orchomenos (-us), i m
Orcus |  Orcus, i m
ordeum |  ordeum
ordinarius |  ordinarius, a, um
ordinatim |  ordinatim adv.
ordinatus |  ordinatus, a, um
ordino |  ordino, avi, atum, are
ordior |  ordior, orsus sum, iri
ordo |  ordo, inis m
Oreas |  Oreas, adis f
Oresanum |  Oresan(um, i n
Orestes |  Orestes, ae (is) m
Orestralynum |  Orestralyn(um, i n
Oreticum |  Oretic(um, i n
organella |  organella, ae f
organismus |  organismus, i m
organon |  organon (organum), i n
organum |  organum, i n
Orgia |  Orgia, orum n
oribata |  oribata, ae m
orichalcum |  orichalcum, i n
oriens |  oriens, entis m
Orientomycinum |  Orientomycin(um, i n
orificium |  orificium, i n
origo |  origo, inis f
Orinasum |  Orinas(um, i n
Orion |  Orion, onis m
orior |  orior, ortus sum, iri part.
oriundus |  oriundus, a, um
ornamentum |  ornamentum, i n
ornate |  ornate adv.
ornatrix |  ornatrix, icis f
ornatus |  I ornatus, a, um m
Ornelenum |  Ornelen(um, i n
ornithophilia |  ornithophilia, ae f
Ornithopoda |  I Ornithopoda, orum n
ornithorhynchus |  ornithorhynchus, a, um биолог.
ornithosporia |  ornithosporia, ae f
orno |  orno, avi, atum, are
ornthophilia |  ornthophilia, ae f
ornus |  ornus, i f
oro |  oro, avi, atum, are
Orosteronum |  Orosteron(um, i n
Orphenadrinum |  Orphenadrin(um, i n
Orpheus |  Orpheus (=Orphe^us), ei (eos) m
orphus |  orphus, i m
orsa |  orsa, orum n
orsus |  orsus, us m
orthocladus |  orthocladus, a, um биолог.
orthodontia |  orthodontia, ae f
orthogenesis |  orthogenesis, is f
orthogenia |  orthogenia, ae f
orthognathia |  orthognathia, ae f
Orthonalum |  Orthonal(um, i n
orthopaedia |  orthopaedia, ae f
orthostachyus |  orthostachyus, a, um биолог.
orthostasis |  orthostasis, is f
ortus |  ortus, us m
Ortygia |  Ortygia, ae f
Orvagilum |  Orvagil(um, i n
Orvarsanum |  Orvarsan(um, i n
Oryzarinum |  Oryzarin(um, i n
os |  I os, oris n
oscen |  oscen, inis m
Osci |  Osci, orum m
oscillum |  I oscillum, i n
oscito |  oscito, --, --, are
oscitor |  oscitor, --, ari
osculatio |  osculatio, onis f
osculor |  osculor, atus sum, ari
osculum |  osculum, i n
Osiris |  Osiris, idis (is) m
Osmosalum |  Osmosal(um, i n
Ossa |  Ossa, ae m
osseus |  osseus, a, um
ossiculum |  ossiculum, i n
ossificatio |  ossificatio, onis f
ostendo |  ostendo, tendi, tentum (tensum), ere воен.
Ostensinum |  Ostensin(um, i n
Ostensolum |  Ostensol(um, i n
ostentatio |  ostentatio, onis f
ostentator |  ostentator, oris m
ostento |  ostento, avi, atum, are
ostentum |  ostentum, i n
ostentus |  ostentus, us m
osteoblastus |  osteoblastus, i f
osteocranium |  osteocranium, i n
osteodysplasia |  osteodysplasia, ae f
osteogenesis |  osteogenesis, is f
osteoideus |  osteoideus, a, um анат.
osteoklastus |  osteoklastus, i m
osteologia |  osteologia, ae f
osteolysis |  osteolysis, is f
osteoma |  osteoma, atis n
osteomyelitis |  osteomyelitis, idis f
osteon |  osteon, i n
osteonecrosis |  osteonecrosis, is f
osteonum |  osteonum, i n
osteopathia |  osteopathia, ae f
osteoplastica |  osteoplastica, ae f
osteoplasticus |  osteoplasticus, a, um мед.
osteosclerosis |  osteosclerosis, is f
osteotomia |  osteotomia, ae f
Ostia |  Ostia, ae f
ostiarium |  ostiarium, i n
ostiatim |  ostiatim adv.
ostium |  ostium, i n
Ostralum |  Ostral(um, i n
ostrea |  ostrea, ae f
ostreum |  ostreum, i n
ostrifer |  ostrifer, era, erum
ostrum |  ostrum, i n
Oterbenum |  Oterben(um, i n
Otho |  Otho, onis m
otior |  otior, atus sum, ari
otiose |  otiose adv.
otiosus |  otiosus, a, um
otium |  otium, i n
Otofuralum |  Otofural(um, i n
otogenus |  otogenus, a, um мед.
otolaryngologia |  otolaryngologia, ae f
otolaryngologus |  otolaryngologus, i m
otorhinolaryngologia |  otorhinolaryngologia, ae f
otorrhagia |  otorrhagia, ae f
otorrhoea |  otorrhoea, ae f
otoscopia |  otoscopia, ae f
Otrivenum |  Otriven(um, i n
Oubainum |  Oubain(um, i n
ovatio |  ovatio, onis f
ovatus |  ovatus, a, um биолог.
Ovidius |  Ovidius, a, um
ovile |  ovile, is n
ovillus |  ovillus, a, um
ovis |  ovis, is f
ovo |  ovo, --, --, are
Ovoаflavinum |  Ovoаflavin(um, i n
ovum |  ovum, i n
Oxamycinum |  Oxamycin(um, i n
Oxaphenamidum |  Oxaphenamid(um, i n
Oxazepamum |  Oxazepam(um, i n
Oxazimedrinum |  Oxazimedrin(um, i n
Oxazocillinum |  Oxazocillin(um, i n
Oxazylum |  Oxazyl(um, i n
Oxolinum |  Oxolin(um, i n
Oxsoralenum |  Oxsoralen(um, i n
Oxurazinum |  Oxurazin(um, i n
Oxus |  Oxus (-os), i m
Oxychloroquinum |  Oxychloroquin(um, i n
Oxycholinum |  Oxycholin(um, i n
Oxycnlorochinum |  Oxycnlorochin(um, i n
Oxycoccus |  Oxycoccus, i m
Oxycodonum |  Oxycodon(um, i n
Oxycortum |  Oxycort(um, i n
Oxydigitoxinum |  Oxydigitoxin(um, i n
oxydum |  oxydum, i n
oxygala |  oxygala, ae f
oxyhaemoglobinum |  oxyhaemoglobinum, i n
Oxylidinum |  I Oxylidin(um, i n
Oxypipum |  Oxypip(um, i n
Oxyritinum |  Oxyritin(um, i n
Oxystyptinum |  Oxystyptin(um, i n
Oxytocinum |  Oxytocin(um, i n
Oxyzinum |  Oxyzin(um, i n
Oxyzonum |  Oxyzon(um, i n
Ozokeritum |  Ozokerit(um, i n
